# T_prime evolution (M=16, H=8, T=11, rounds=150)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,11,20,,,6,1040,1040000,394.629,,,,
round,2,16,11,27,,,9,1060,1064800,426.855,,,,
round,3,16,11,34,,,5,1084,1122400,430.401,,,,
round,4,16,11,22,,,6,1089,1169400,446.03,,,,
round,5,16,11,48,,,6,1159,1219600,457.392,,,,
round,6,16,11,33,,,8,1151,1319900,458.44,,,,
round,7,16,11,46,,,12,1252,1405600,478.545,,,,
round,8,16,11,38,,,12,1175,1557800,471.114,,,,
round,9,16,11,69,,,16,1419,1743000,500.134,,,,
round,10,16,11,53,,,14,1384,2010700,524.741,,,,
round,11,16,11,34,,,12,1207,2238400,428.749,,,,
round,12,16,11,82,,,34,1810,2431000,505.331,,,,
round,13,16,11,38,,,12,1291,2914000,462.888,,,,
round,14,16,11,38,,,12,1276,3185200,443.853,,,,
round,15,16,11,48,,,20,1341,3377400,449.328,,,,
round,16,16,11,48,,,15,1339,3675100,508.813,,,,
round,17,16,11,61,,,13,1359,4109700,469.876,,,,
round,18,16,11,78,,,22,1626,4384500,568.535,,,,
round,19,16,11,29,,,19,1236,4791300,477.123,,,,
round,20,16,11,25,,,18,1211,4992800,508.43,,,,
round,21,16,11,27,,,15,1202,5203400,461.458,,,,
round,22,16,11,19,,,5,1151,5388500,437.997,,,,
round,23,16,11,18,,,2,1150,5436100,438.803,,,,
round,24,16,11,18,,,1,1147,5451400,458.095,,,,
round,25,16,11,16,,,0,1137,5459700,445.326,,,,
tighten,25,,,,,,,,,16,13,,15
round,26,13,11,16,,,12,1137,5459700,442.574,,,,
round,27,13,11,20,,,13,1181,5568500,453.765,,,,
round,28,13,11,20,,,17,1165,5662900,437.561,,,,
round,29,13,11,20,,,25,1184,5771600,462.657,,,,
round,30,13,11,26,,,8,1171,5938600,435.896,,,,
round,31,13,11,36,,,12,1252,6039100,447.356,,,,
round,32,13,11,17,,,9,1109,6392900,438.699,,,,
round,33,13,11,20,,,9,1123,6488800,433.722,,,,
round,34,13,11,15,,,9,1097,6570500,449.882,,,,
round,35,13,11,15,,,7,1094,6612800,437.134,,,,
round,36,13,11,21,,,6,1107,6634200,449.278,,,,
round,37,13,11,22,,,8,1116,6696900,435.851,,,,
round,38,13,11,15,,,1,1100,6792200,426.926,,,,
round,39,13,11,15,,,1,1100,6801200,433.898,,,,
round,40,13,11,15,,,1,1100,6810200,427.593,,,,
round,41,13,11,15,,,1,1100,6819200,431.508,,,,
round,42,13,11,22,,,4,1122,6819900,426.271,,,,
round,43,13,11,67,,,25,1685,6831200,527.365,,,,
round,44,13,11,23,,,12,1095,7256100,420.799,,,,
round,45,13,11,24,,,23,1180,7353100,450.334,,,,
round,46,13,11,19,,,3,1107,7581900,422.818,,,,
round,47,13,11,12,,,0,1088,7607000,422.173,,,,
tighten,47,,,,,,,,,13,11,,12
round,48,11,11,12,,,2,1088,7607000,423.059,,,,
round,49,11,11,12,,,1,1088,7613900,422.146,,,,
round,50,11,11,12,,,1,1088,7617500,445.177,,,,
round,51,11,11,14,,,5,1077,7619700,439.201,,,,
round,52,11,11,23,,,5,1094,7639700,442.727,,,,
round,53,11,11,15,,,8,1100,7747700,424.037,,,,
round,54,11,11,15,,,4,1098,7788300,420.162,,,,
round,55,11,11,23,,,15,1151,7807100,432.823,,,,
round,56,11,11,12,,,3,1087,7970200,435.249,,,,
round,57,11,11,12,,,3,1087,7981000,438.56,,,,
round,58,11,11,12,,,3,1087,7991800,423.331,,,,
round,59,11,11,12,,,5,1081,7999000,491.257,,,,
round,60,11,11,12,,,5,1081,8017000,438.64,,,,
round,61,11,11,12,,,3,1087,8032600,432.229,,,,
round,62,11,11,12,,,5,1081,8042200,430.259,,,,
round,63,11,11,12,,,3,1087,8058400,418.252,,,,
round,64,11,11,12,,,5,1081,8067400,431.154,,,,
round,65,11,11,12,,,2,1084,8083900,412.078,,,,
round,66,11,11,29,,,9,1136,8090600,432.03,,,,
round,67,11,11,15,,,4,1095,8242200,411.289,,,,
round,68,11,11,13,,,3,1090,8267800,417.294,,,,
round,69,11,11,12,,,3,1087,8284000,423.265,,,,
round,70,11,11,12,,,3,1087,8294800,421.179,,,,
round,71,11,11,13,,,3,1090,8305000,480.271,,,,
round,72,11,11,12,,,3,1087,8321200,422.215,,,,
round,73,11,11,22,,,5,1102,8328400,430.471,,,,
round,74,11,11,12,,,3,1087,8411800,437.588,,,,
round,75,11,11,13,,,3,1091,8421500,418.1,,,,
round,76,11,11,12,,,1,1088,8437700,423.779,,,,
round,77,11,11,12,,,5,1082,8440100,428.46,,,,
round,78,11,11,50,,,17,1267,8454700,474.597,,,,
round,79,11,11,15,,,3,1098,8752800,462.062,,,,
round,80,11,11,15,,,7,1092,8780700,459.971,,,,
round,81,11,11,12,,,1,1094,8819300,498.925,,,,
round,82,11,11,12,,,5,1088,8821100,489.796,,,,
round,83,11,11,12,,,1,1094,8837900,450.794,,,,
round,84,11,11,12,,,5,1088,8839400,485.195,,,,
round,85,11,11,11,,,0,1091,8856200,453.513,,,,
