# T_prime evolution (M=16, H=8, T=11, rounds=150)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,11,20,,,6,1040,1040000,407.71,,,,
round,2,16,11,18,,,6,1040,1041332,431.178,,,,
round,3,16,11,18,,,6,1040,1043528,436.433,,,,
round,4,16,11,18,,,3,1042,1046626,463.737,,,,
round,5,16,11,15,,,0,1044,1047816,421.447,,,,
tighten,5,,,,,,,,,16,12,,15
round,6,12,11,15,,,6,1044,1047816,421.705,,,,
round,7,12,11,18,,,8,1042,1048520,419.534,,,,
round,8,12,11,18,,,8,1042,1050373,432.955,,,,
round,9,12,11,14,,,6,1044,1052533,422.17,,,,
round,10,12,11,18,,,8,1042,1054274,430.01,,,,
round,11,12,11,20,,,8,1042,1057023,435.285,,,,
round,12,12,11,26,,,10,1058,1060937,459.933,,,,
round,13,12,11,14,,,6,1044,1064721,427.461,,,,
round,14,12,11,20,,,10,1040,1066679,434.097,,,,
round,15,12,11,26,,,10,1058,1071173,433.019,,,,
round,16,12,11,14,,,6,1044,1078735,442.442,,,,
round,17,12,11,14,,,6,1044,1082323,429.934,,,,
round,18,12,11,20,,,10,1040,1084831,716.142,,,,
round,19,12,11,26,,,10,1058,1089516,413.392,,,,
round,20,12,11,14,,,6,1044,1100189,412.13,,,,
round,21,12,11,14,,,6,1044,1104704,412.233,,,,
round,22,12,11,32,,,11,1069,1106881,436.449,,,,
round,23,12,11,32,,,11,1069,1111911,430.824,,,,
round,24,12,11,26,,,10,1058,1117435,428.792,,,,
round,25,12,11,32,,,12,1098,1125073,437.746,,,,
round,26,12,11,14,,,6,1044,1136327,423.75,,,,
round,27,12,11,14,,,6,1044,1140858,422.041,,,,
round,28,12,11,20,,,10,1040,1143798,433.62,,,,
round,29,12,11,26,,,10,1058,1151688,427.295,,,,
round,30,12,11,32,,,12,1096,1154290,443.722,,,,
round,31,12,11,13,,,6,1046,1169487,422.903,,,,
round,32,12,11,13,,,6,1046,1173868,436.44,,,,
round,33,12,11,20,,,6,1046,1176842,408.068,,,,
round,34,12,11,20,,,6,1046,1182104,418.403,,,,
round,35,12,11,38,,,14,1156,1184763,432.955,,,,
round,36,12,11,32,,,12,1096,1192097,423.708,,,,
round,37,12,11,26,,,8,1066,1202104,426.63,,,,
round,38,12,11,38,,,14,1160,1206811,444.74,,,,
round,39,12,11,20,,,6,1046,1217341,424.79,,,,
round,40,12,11,13,,,3,1048,1222055,443.608,,,,
round,41,12,11,12,,,0,1050,1223741,444.71,,,,
tighten,41,,,,,,,,,12,11,,11
round,42,11,11,12,,,8,1050,1223741,435.666,,,,
round,43,11,11,20,,,7,1048,1224694,431.403,,,,
round,44,11,11,12,,,8,1050,1227309,442.628,,,,
round,45,11,11,12,,,8,1050,1229781,433.323,,,,
round,46,11,11,21,,,10,1046,1231667,451.806,,,,
round,47,11,11,26,,,10,1051,1233260,433.796,,,,
round,48,11,11,32,,,11,1080,1238335,437.701,,,,
round,49,11,11,38,,,14,1129,1242379,446.797,,,,
round,50,11,11,38,,,12,1104,1250473,906.665,,,,
round,51,11,11,21,,,8,1047,1257193,465.425,,,,
round,52,11,11,26,,,9,1059,1261271,422.838,,,,
round,53,11,11,32,,,11,1081,1264540,424.935,,,,
round,54,11,11,38,,,14,1130,1268854,442.944,,,,
round,55,11,11,38,,,12,1106,1280299,424.103,,,,
round,56,11,11,21,,,3,1060,1289231,435.987,,,,
round,57,11,11,8,,,0,1072,1292240,421.637,,,,
