T,round_len,final_T_prime,final_maxL,final_HPWL_eq,final_HPWL_w
8,55,10.0,8.0,1072.0,1303231.0
9,55,10.0,8.0,1072.0,1303231.0
10,55,10.0,8.0,1072.0,1303231.0
11,57,11.0,8.0,1072.0,1292240.0
12,41,12.0,12.0,1050.0,1223741.0
13,32,13.0,13.0,1046.0,1119216.0
14,7,14.0,14.0,1044.0,1047984.0
15,5,16.0,15.0,1044.0,1047816.0
16,5,16.0,15.0,1044.0,1047816.0
17,7,17.0,15.0,1044.0,1048328.0
18,2,18.0,18.0,1040.0,1040324.0
19,2,19.0,18.0,1040.0,1040144.0
20,1,20.0,20.0,1040.0,1040000.0
