# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
1 12 1040 1040000 -8 52 20 10 1 1000.000000 0.000000 0.000000 1000.000000 1000 1000 0.000000 0.103448 0.000000 0.000000 0 V 12 6 391.106320 0 0.000000
2 12 1042 1045312 -6 30 18 8 1 1001.784483 27.121790 0.027073 1000.000000 1000 1414 0.001774 0.105045 16.000000 11.661904 0 V 2 0 420.526729 0 16.000000
3 12 1044 1052768 -3 12 15 6 1 1004.724138 52.166112 0.051921 1000.000000 1000 1682 0.004666 0.107664 1.000000 1.000000 0 V 1 0 420.844287 0 8.500000
4 12 1051 1059182 -12 50 24 8 1 1008.318966 75.316012 0.074695 1000.000000 1000 1834 0.008159 0.110845 2.000000 2.000000 0 V 3 0 433.024876 0 6.333333
5 12 1048 1066668 -8 23 20 6 1 1012.262931 95.916922 0.094755 1000.000000 1000 1915 0.011936 0.114309 1.000000 1.000000 0 V 2 0 424.415625 0 5.000000
6 12 1048 1078380 -8 23 20 6 1 1016.387931 114.146818 0.112306 1000.000000 1000 1957 0.015824 0.117904 0.000000 0.000000 0 V 2 0 427.922542 0 4.000000
7 12 1070 1085035 -20 77 32 9 1 1021.818966 149.619494 0.146425 1000.000000 1000 2378 0.020935 0.122592 2.000000 2.000000 0 V 4 0 430.750260 0 3.666667
8 12 1052 1092905 -15 55 27 8 1 1027.314655 186.032047 0.181086 1000.000000 1000 3084 0.026056 0.127286 1.000000 1.000000 0 V 3 0 431.285148 0 3.285714
9 12 1076 1096642 -22 74 34 9 1 1034.159483 232.675898 0.224990 1000.000000 1000 3513 0.032384 0.133062 1.000000 1.000000 0 V 4 0 424.071628 0 3.000000
10 12 1076 1112772 -22 74 34 9 1 1040.103448 266.056916 0.255799 1000.000000 1000 3748 0.037751 0.138017 0.000000 0.000000 0 V 4 0 718.085193 0 2.666667
11 12 1101 1122664 -28 108 40 10 1 1046.568966 297.078453 0.283859 1000.000000 1000 3872 0.043494 0.143342 1.000000 1.000000 0 V 5 0 453.251112 0 2.500000
12 12 1065 1138211 -8 21 20 8 1 1052.612069 323.974676 0.307782 1000.000000 1000 3936 0.048792 0.148260 0.000000 0.000000 0 V 5 0 428.281439 0 2.272727
13 12 1069 1150863 -10 25 22 9 1 1059.241379 351.251644 0.331607 1000.000000 1000 3968 0.054498 0.153591 1.000000 1.000000 0 V 6 0 429.150155 0 2.166667
14 12 1069 1161419 -10 25 22 9 1 1065.396552 375.317415 0.352280 1000.000000 1000 3984 0.059725 0.158481 0.000000 0.000000 0 V 6 0 466.211190 0 2.000000
15 12 1094 1178510 -17 41 29 10 1 1072.099138 399.682270 0.372803 1000.000000 1000 3992 0.065306 0.163742 1.000000 1.000000 0 V 7 0 430.330869 0 1.928571
16 12 1067 1191618 -9 20 21 8 1 1078.293103 421.246519 0.390660 1000.000000 1000 3996 0.070395 0.168545 0.000000 0.000000 0 V 7 0 418.150883 0 1.800000
17 12 1069 1204539 -10 22 22 8 1 1085.008621 443.073912 0.408360 1000.000000 1000 3998 0.075802 0.173692 1.000000 1.000000 0 V 8 0 457.326289 0 1.750000
18 12 1069 1215260 -10 22 22 8 1 1091.211207 462.537038 0.423875 1000.000000 1000 3999 0.080730 0.178388 0.000000 0.000000 0 V 8 0 425.561134 0 1.647059
19 12 1069 1228531 -10 22 22 8 1 1097.935345 482.389607 0.439361 1000.000000 1000 3999 0.085965 0.183420 1.000000 1.000000 0 V 9 0 435.071591 0 1.611111
20 12 1069 1239260 -10 22 22 8 1 1104.142241 500.190241 0.453013 1000.000000 1000 4000 0.090733 0.188011 0.000000 0.000000 0 V 9 0 434.181053 0 1.526316
21 12 1069 1252531 -10 22 22 8 1 1110.866379 518.452334 0.466710 1000.000000 1000 4000 0.095795 0.192926 1.000000 1.000000 0 V 10 0 426.133992 0 1.500000
22 12 1069 1263260 -10 22 22 8 1 1117.073276 534.904510 0.478845 1000.000000 1000 4000 0.100405 0.197410 0.000000 0.000000 0 V 10 0 433.403619 0 1.428571
23 12 1069 1276523 -10 22 22 8 1 1123.793103 551.839370 0.491051 1000.000000 1000 4000 0.105296 0.202209 1.000000 1.000000 0 V 11 0 428.849810 0 1.409091
24 12 1069 1287260 -10 22 22 8 1 1130.004310 567.204522 0.501949 1000.000000 1000 4000 0.109757 0.206594 0.000000 0.000000 0 V 11 0 434.003019 0 1.347826
25 12 1069 1300523 -10 22 22 8 1 1136.724138 583.053202 0.512924 1000.000000 1000 4000 0.114486 0.211285 1.000000 1.000000 0 V 12 0 423.438685 0 1.333333
26 12 1077 1310190 -14 59 26 10 1 1142.935345 597.481950 0.522761 1000.000000 1000 4000 0.118800 0.215571 8.000000 7.071068 0 V 11 7 436.816899 0 1.600000
27 12 1053 1320273 -3 12 15 7 1 1148.439655 608.245077 0.529627 1000.000000 1000 4000 0.122514 0.219331 8.000000 7.071068 0 V 12 0 442.188420 0 1.846154
28 12 1075 1328708 -16 75 28 9 1 1154.909483 621.054932 0.537752 1000.000000 1000 4000 0.126853 0.223704 7.000000 5.385165 0 V 10 5 436.515982 0 2.037037
29 12 1069 1335727 -10 22 22 8 1 1160.767241 632.438403 0.544845 1000.000000 1000 4000 0.130706 0.227621 8.000000 5.830952 0 V 13 0 449.967535 0 2.250000
30 12 1103 1347884 -21 101 33 11 1 1166.012931 640.840797 0.549600 1000.000000 1000 4000 0.134056 0.231096 9.000000 6.403124 0 V 9 5 431.654234 0 2.482759
31 12 1075 1359553 -12 67 24 11 1 1170.831897 646.605721 0.552262 1000.000000 1000 4000 0.137049 0.234261 2.000000 1.414214 0 V 10 4 442.288347 0 2.466667
32 12 1054 1370915 -8 42 20 9 1 1177.047414 656.562838 0.557805 1000.000000 1000 4000 0.140972 0.238304 1.000000 1.000000 0 V 11 4 433.332465 0 2.419355
33 12 1061 1381420 -3 15 15 8 1 1182.668103 665.683650 0.562866 1000.000000 1000 4000 0.144431 0.241924 5.000000 3.605551 0 V 9 7 431.781553 0 2.500000
34 12 1143 1384647 -26 141 38 14 1 1189.469828 678.519115 0.570438 1000.000000 1000 4000 0.148632 0.246259 3.000000 2.236068 0 V 8 5 441.388002 0 2.515152
35 12 1104 1393253 -19 103 31 12 1 1195.353448 688.990488 0.576391 1000.000000 1000 4000 0.152155 0.249969 3.000000 2.236068 0 V 9 7 447.611536 0 2.529412
36 12 1061 1411845 -2 11 14 7 1 1202.318966 702.317213 0.584136 1000.000000 1000 4000 0.156329 0.254315 6.000000 4.242641 0 V 12 4 427.300871 0 2.628571
37 12 1077 1419738 -4 16 16 8 1 1208.262931 712.752983 0.589899 1000.000000 1000 4000 0.159773 0.257983 5.000000 3.807887 1 H 14 0 444.697587 0 2.694444
38 12 1067 1425376 -5 33 17 10 1 1213.491379 719.877342 0.593228 1000.000000 1000 4000 0.162695 0.261180 5.000000 3.535534 1 V 11 3 433.663048 0 2.756757
39 12 1192 1434483 -31 181 43 15 2 1220.051724 730.370429 0.598639 1000.000000 1000 4000 0.166426 0.265153 6.000000 4.472136 0 V 7 5 435.039521 0 2.842105
40 12 1146 1445265 -25 147 37 14 1 1227.551724 738.902878 0.601932 1000.000000 1000 4000 0.170464 0.268189 3.000000 2.236068 0 V 8 7 433.206448 0 2.846154
41 12 1058 1473646 -3 6 15 4 1 1235.577586 750.978295 0.607795 1000.000000 1000 4000 0.174833 0.272007 0.000000 0.000000 0 V 8 7 415.630133 0 2.775000
42 12 1067 1479160 -2 8 14 6 1 1246.314655 782.412929 0.627781 1000.000000 1000 4744 0.181046 0.277753 3.000000 2.236068 0 V 6 6 434.711603 0 2.780488
43 12 1067 1488135 -2 8 14 6 1 1255.469828 816.479802 0.650338 1000.000000 1000 6160 0.186504 0.281321 0.000000 0.000000 0 V 6 6 440.720644 0 2.714286
44 12 1064 1497682 -3 7 15 5 1 1263.987069 844.523976 0.668143 1000.000000 1000 7020 0.191260 0.284169 2.000000 1.414214 0 V 7 7 416.787565 0 2.697674
45 12 1082 1509491 -9 15 21 6 1 1272.931034 869.132829 0.682781 1000.000000 1000 7494 0.196125 0.288998 2.000000 2.000000 0 V 5 7 444.991580 0 2.681818
46 12 1082 1523930 -9 15 21 6 1 1280.120690 886.068925 0.692176 1000.000000 1000 7743 0.199817 0.291554 0.000000 0.000000 0 V 5 7 513.616711 0 2.622222
47 12 1105 1542851 -16 32 28 7 1 1287.245690 899.041551 0.698423 1000.000000 1000 7870 0.203316 0.293490 1.000000 1.000000 0 V 4 7 492.986564 0 2.586957
48 12 1078 1556240 -8 15 20 6 1 1293.633621 909.263869 0.702876 1000.000000 1000 7935 0.206401 0.295589 0.000000 0.000000 0 V 4 7 427.815802 0 2.531915
49 12 1088 1569010 -10 20 22 8 1 1300.448276 918.916475 0.706615 1000.000000 1000 7967 0.209584 0.297328 1.000000 1.000000 0 V 3 7 424.021433 0 2.500000
50 12 1088 1579992 -10 20 22 8 1 1306.689655 927.453855 0.709774 1000.000000 1000 7984 0.212472 0.299318 0.000000 0.000000 0 V 3 7 425.731143 0 2.448980
51 12 1119 1593401 -11 90 23 17 2 1313.435345 936.177028 0.712770 1000.000000 1000 7992 0.215504 0.300991 8.000000 7.071068 0 V 10 6 496.132852 0 2.560000
52 12 1096 1607229 -10 31 22 10 1 1326.793103 970.308687 0.731319 1000.000000 1000 7996 0.222414 0.306683 9.000000 8.062258 0 V 2 7 428.369265 0 2.686275
53 12 1096 1619931 -10 31 22 10 1 1336.913793 998.674018 0.747000 1000.000000 1000 7998 0.227353 0.309733 0.000000 0.000000 0 V 2 7 419.830417 0 2.634615
54 12 1096 1635594 -10 35 22 11 1 1345.732759 1019.296540 0.757429 1000.000000 1000 7999 0.231376 0.311893 1.000000 1.000000 0 V 1 7 423.211377 0 2.603774
55 12 1080 1645502 -3 32 15 14 1 1353.030172 1033.469722 0.763819 1000.000000 1000 7999 0.234573 0.314027 5.000000 5.000000 0 V 1 2 422.827243 0 2.648148
56 12 1080 1657044 -3 32 15 14 1 1359.090517 1042.368980 0.766961 1000.000000 1000 8000 0.237047 0.314790 0.000000 0.000000 0 V 1 2 433.113343 0 2.600000
57 12 1079 1671084 -3 29 15 13 1 1365.560345 1049.736714 0.768722 1000.000000 1000 8000 0.239604 0.315640 0.000000 0.000000 0 V 1 2 418.723331 0 2.553571
58 12 1095 1691638 -9 38 21 15 2 1376.952586 1079.597072 0.784048 1000.000000 1000 8000 0.245189 0.321014 10.000000 7.071068 0 V 6 7 442.487593 0 2.684211
59 12 1118 1723629 -16 50 28 15 2 1391.840517 1126.401137 0.809289 1000.000000 1000 8000 0.252556 0.327649 1.000000 1.000000 0 V 5 7 452.935717 0 2.655172
60 12 1125 1759753 -17 84 29 17 2 1408.987069 1181.872351 0.838810 1000.000000 1000 8000 0.260833 0.334732 1.000000 1.000000 0 V 4 7 553.886771 0 2.627119
61 12 1102 1793163 -9 65 21 9 1 1427.418103 1240.415091 0.868992 1000.000000 1000 8000 0.269433 0.341915 7.000000 6.082763 0 V 3 1 411.463153 0 2.700000
62 12 1135 1804863 -13 82 25 10 1 1440.034483 1280.163223 0.888981 1000.000000 1000 8000 0.274907 0.345648 3.000000 2.236068 0 V 5 0 423.657787 0 2.704918
63 12 1095 1819332 -10 32 22 12 1 1454.215517 1322.260338 0.909260 1000.000000 1000 8000 0.281181 0.350820 9.000000 7.280110 0 V 3 7 418.709284 0 2.806452
64 12 1163 1827744 -18 137 30 13 1 1469.693966 1368.941932 0.931447 1000.000000 1000 8000 0.287983 0.356997 10.000000 7.615773 0 V 6 0 420.324939 0 2.920635
65 12 1210 1847055 -24 187 36 15 2 1485.991379 1418.596678 0.954647 1000.000000 1000 8000 0.294998 0.363710 1.000000 1.000000 0 V 7 0 438.138679 0 2.890625
66 12 1244 1869363 -35 174 47 18 2 1504.271552 1468.800818 0.976420 1000.000000 1000 8000 0.302386 0.370250 13.000000 9.219544 0 V 1 7 464.436936 0 3.046154
67 12 1284 1879181 -36 243 48 17 2 1520.129310 1505.093725 0.990109 1000.000000 1000 8000 0.308171 0.375133 14.000000 9.899495 0 V 8 0 462.198880 0 3.212121
68 12 1345 1921459 -37 319 49 17 2 1537.814655 1542.771696 1.003223 1000.000000 1000 8000 0.314522 0.380404 14.000000 10.124228 1 H 0 5 468.015228 0 3.373134
69 12 1349 1934556 -41 308 53 19 2 1551.797414 1568.316959 1.010645 1000.000000 1000 8000 0.318964 0.382579 15.000000 10.977249 1 V 9 0 718.896251 0 3.544118
70 12 1650 1966946 -46 604 58 38 4 1568.431034 1598.352769 1.019077 1000.000000 1000 8000 0.324391 0.386096 8.000000 5.700877 1 H 14 3 415.359093 0 3.608696
71 12 1380 1993733 -39 335 51 20 2 1585.094828 1618.580711 1.021125 1000.000000 1000 8000 0.328809 0.386507 16.000000 13.341664 0 H 1 6 1530.005814 0 3.785714
72 12 1656 2003440 -61 645 73 23 2 1598.379310 1630.937784 1.020370 1000.000000 1000 8000 0.331913 0.385733 18.000000 14.560220 0 H 15 2 815.614310 0 3.985915
73 12 1417 2012771 -44 371 56 20 2 1609.491379 1637.558535 1.017439 1000.000000 1000 8000 0.334188 0.384334 7.000000 5.147815 1 V 10 0 504.001045 0 4.027778
74 12 1695 2052135 -40 669 52 46 5 1624.573276 1655.147395 1.018820 1000.000000 1000 8000 0.338155 0.385810 14.000000 11.067972 1 H 0 3 460.744770 0 4.164384
75 12 1156 2067713 -17 57 29 9 1 1641.939655 1667.759083 1.015725 1000.000000 1000 8000 0.341534 0.384858 15.000000 12.020815 1 V 11 0 437.402373 0 4.310811
76 12 1713 2089828 -69 706 81 34 3 1659.362069 1690.446217 1.018733 1000.000000 1000 8000 0.345837 0.386862 5.000000 3.807887 1 H 15 1 485.518044 0 4.320000
77 12 1161 2111640 -17 73 29 17 2 1674.780172 1706.818948 1.019130 1000.000000 1000 8000 0.348858 0.386973 4.000000 2.915476 1 V 12 0 454.632454 0 4.315789
78 12 1173 2147515 -18 122 30 22 2 1697.603448 1742.813072 1.026631 1000.000000 1000 8000 0.354847 0.391980 2.000000 2.000000 0 V 14 0 445.577034 0 4.285714
79 12 1141 2170091 -17 99 29 17 2 1716.525862 1772.358184 1.032526 1000.000000 1000 8000 0.359433 0.393924 1.000000 1.000000 0 V 13 0 434.682238 0 4.243590
80 12 1716 2195180 -34 717 46 39 4 1735.681034 1803.930338 1.039321 1000.000000 1000 8000 0.364157 0.397146 16.000000 13.729530 1 H 0 2 447.458238 0 4.392405
81 12 1162 2207552 -12 125 24 20 2 1753.732759 1824.261090 1.040216 1000.000000 1000 8000 0.367215 0.397497 14.000000 10.511898 1 V 9 7 435.012340 0 4.512500
82 12 1125 2244443 -9 81 21 21 2 1773.008621 1848.560148 1.042612 1000.000000 1000 8000 0.370929 0.399603 12.000000 9.823441 1 H 0 4 420.562646 0 4.604938
83 12 1142 2279597 -12 67 24 23 2 1789.340517 1867.135701 1.043477 1000.000000 1000 8000 0.373901 0.399781 2.000000 2.000000 0 H 0 6 431.285739 0 4.573171
84 12 1109 2299059 -10 45 22 18 2 1803.793103 1879.919418 1.042203 1000.000000 1000 8000 0.376377 0.398664 2.000000 1.581139 1 V 1 7 429.129276 0 4.542169
85 12 1095 2315794 -5 48 17 18 2 1820.685345 1899.113950 1.043076 1000.000000 1000 8000 0.379629 0.399975 9.000000 7.280110 0 V 3 0 427.468437 0 4.595238
86 12 1118 2335394 -12 80 24 21 2 1839.607759 1924.798415 1.046309 1000.000000 1000 8000 0.383334 0.402799 1.000000 1.000000 0 V 4 0 423.065872 0 4.552941
87 12 1153 2371869 -15 103 27 23 2 1859.198276 1954.929297 1.051490 1000.000000 1000 8000 0.387214 0.406567 9.000000 6.519202 1 H 1 5 432.368528 0 4.604651
88 12 1154 2393481 -16 124 28 21 2 1877.629310 1978.853476 1.053911 1000.000000 1000 8000 0.390847 0.407309 10.000000 7.106335 1 V 5 0 448.575362 0 4.666667
89 12 1194 2421140 -24 171 36 24 2 1904.413793 2049.189851 1.076021 1000.000000 1000 11314 0.397451 0.411646 1.000000 1.000000 0 V 6 0 428.827908 0 4.625000
