# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
36 12 488 593895 1 0 11 0 0 1196.053571 396.544175 0.331544 1000.000000 1000 2000 0.131773 0.179161 0.000000 0.000000 0 V 1 0 16.912934 1 3.971429
37 12 488 593952 1 0 11 0 0 1196.250000 396.936719 0.331818 1000.000000 1000 2000 0.131856 0.179131 0.000000 0.000000 0 V 1 0 17.074659 1 3.861111
38 12 488 593976 1 0 11 0 0 1196.339286 397.116112 0.331943 1000.000000 1000 2000 0.131892 0.179118 0.000000 0.000000 0 V 1 0 17.125224 1 3.756757
39 12 488 593988 1 0 11 0 0 1196.383929 397.206164 0.332006 1000.000000 1000 2000 0.131911 0.179111 0.000000 0.000000 0 V 1 0 16.843264 1 3.657895
40 12 488 593998 1 0 11 0 0 1196.410714 397.260250 0.332043 1000.000000 1000 2000 0.131922 0.179107 0.000000 0.000000 0 V 1 0 16.948922 1 3.564103
41 12 488 593999 1 0 11 0 0 1196.419643 397.278299 0.332056 1000.000000 1000 2000 0.131926 0.179106 0.000000 0.000000 0 V 1 0 17.055322 1 3.475000
42 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.842432 1 3.390244
43 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.903887 1 3.309524
44 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.779714 1 3.232558
45 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.762942 1 3.159091
46 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.897155 1 3.088889
47 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.798137 1 3.021739
48 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.934716 1 2.957447
49 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.850256 1 2.895833
50 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.949043 1 2.836735
51 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.760186 1 2.780000
52 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.861376 1 2.725490
53 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.960244 1 2.673077
54 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.790323 1 2.622642
55 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.942661 1 2.574074
56 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.504197 1 2.527273
57 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.104595 1 2.482143
58 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.214442 1 2.438596
59 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.221897 1 2.396552
60 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.924355 1 2.355932
61 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.806894 1 2.316667
62 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.898988 1 2.278689
63 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.784773 1 2.241935
64 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.889069 1 2.206349
65 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.890803 1 2.171875
66 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.885503 1 2.138462
67 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.951126 1 2.106061
68 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.797698 1 2.074627
69 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.831630 1 2.044118
70 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.970443 1 2.014493
71 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.847701 1 1.985714
72 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.850206 1 1.957746
73 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.086380 1 1.930556
74 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.153427 1 1.904110
75 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.086180 1 1.878378
76 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 21.316461 1 1.853333
77 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.604423 1 1.828947
78 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.936899 1 1.805195
