# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
1 18 1568 1568000 -21 240 39 17 2 1000.000000 0.000000 0.000000 1000.000000 1000 1000 0.000000 0.102273 0.000000 0.000000 0 H 0 3 1526.224593 0 0.000000
2 18 1568 1571312 -21 249 39 17 2 1003.136364 35.897323 0.035785 1000.000000 1000 1414 0.003103 0.105080 7.000000 4.949747 1 V 3 0 1559.512568 0 7.000000
3 18 1583 1585606 -32 285 50 16 2 1008.303030 68.943317 0.068376 1000.000000 1000 1682 0.008125 0.109665 8.000000 5.700877 1 H 0 4 1593.306816 0 7.500000
4 18 1580 1591986 -31 305 49 16 2 1014.579545 99.221369 0.097796 1000.000000 1000 1834 0.014092 0.115173 12.000000 8.514693 1 V 6 10 1570.007230 0 9.000000
5 18 1576 1615960 -21 190 39 16 2 1021.477273 125.980185 0.123331 1000.000000 1000 1915 0.020482 0.121148 13.000000 10.440307 0 V 3 0 1545.621957 0 10.000000
6 18 1593 1625969 -14 163 32 18 2 1028.708333 149.641548 0.145465 1000.000000 1000 1957 0.026998 0.127326 6.000000 4.301163 1 H 0 2 1581.728363 0 9.200000
7 18 1617 1637209 -40 320 58 17 2 1036.106061 170.656587 0.164710 1000.000000 1000 1978 0.033470 0.133557 3.000000 3.000000 0 H 0 5 1541.517395 0 8.166667
8 18 1605 1653572 -14 175 32 22 2 1043.594697 189.528059 0.181611 1000.000000 1000 1989 0.039826 0.139774 8.000000 6.041523 1 V 2 0 1739.928084 0 8.142857
9 18 1626 1668258 -41 415 59 17 2 1051.128788 206.629184 0.196578 1000.000000 1000 1995 0.046024 0.145940 13.000000 10.440307 0 V 5 10 1561.239220 0 8.750000
10 18 1655 1704509 -39 352 57 22 2 1058.678030 222.232471 0.209915 1000.000000 1000 1997 0.052040 0.152030 9.000000 6.519202 1 H 0 6 1570.909009 0 8.777778
11 18 1623 1720969 -34 256 52 19 2 1066.246212 236.645360 0.221943 1000.000000 1000 1999 0.057880 0.158049 11.000000 7.905694 1 V 4 0 1531.527654 0 9.000000
