# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
1 12 756 756000 -8 52 20 10 1 1000.000000 0.000000 0.000000 1000.000000 1000 1000 0.000000 0.104651 0.000000 0.000000 0 V 8 6 82.838359 0 0.000000
2 12 758 761312 -6 30 18 8 1 1002.406977 31.475305 0.031400 1000.000000 1000 1414 0.002387 0.106801 12.000000 8.485281 0 V 2 0 83.610404 0 12.000000
3 12 760 768768 -3 12 15 6 1 1006.372093 60.498712 0.060116 1000.000000 1000 1682 0.006267 0.110320 1.000000 1.000000 0 V 1 0 84.010667 0 6.500000
4 12 767 775182 -12 50 24 8 1 1011.220930 87.285272 0.086317 1000.000000 1000 1834 0.010931 0.114586 2.000000 2.000000 0 V 3 0 84.169496 0 5.000000
5 12 764 782668 -8 23 20 6 1 1016.540698 111.079343 0.109272 1000.000000 1000 1915 0.015948 0.119220 1.000000 1.000000 0 V 2 0 83.727754 0 4.000000
6 12 764 794380 -8 23 20 6 1 1022.104651 132.092025 0.129235 1000.000000 1000 1957 0.021085 0.124015 0.000000 0.000000 0 V 2 0 148.724339 0 3.200000
7 12 786 801035 -20 77 32 9 1 1029.430233 173.121515 0.168172 1000.000000 1000 2378 0.027833 0.130248 2.000000 2.000000 0 V 4 0 87.870991 0 3.000000
8 12 768 808905 -15 55 27 8 1 1036.843023 215.242653 0.207594 1000.000000 1000 3084 0.034574 0.136466 1.000000 1.000000 0 V 3 0 113.761799 0 2.714286
9 12 792 812642 -22 74 34 9 1 1046.075581 269.210711 0.257353 1000.000000 1000 3513 0.042882 0.144088 1.000000 1.000000 0 V 4 0 89.854758 0 2.500000
10 12 792 828772 -22 74 34 9 1 1054.093023 307.770098 0.291976 1000.000000 1000 3748 0.049870 0.150598 0.000000 0.000000 0 V 4 0 84.720334 0 2.222222
11 12 817 838664 -28 108 40 10 1 1062.813953 343.543353 0.323239 1000.000000 1000 3872 0.057304 0.157568 1.000000 1.000000 0 V 5 0 93.577151 0 2.100000
12 12 781 854211 -8 21 20 8 1 1070.965116 374.527670 0.349710 1000.000000 1000 3936 0.064135 0.163979 0.000000 0.000000 0 V 5 0 82.605330 0 1.909091
13 12 785 866863 -10 25 22 9 1 1079.906977 405.912713 0.375877 1000.000000 1000 3968 0.071442 0.170902 1.000000 1.000000 0 V 6 0 83.730289 0 1.833333
14 12 785 877419 -10 25 22 9 1 1088.209302 433.577187 0.398432 1000.000000 1000 3984 0.078107 0.177227 0.000000 0.000000 0 V 6 0 84.237976 0 1.692308
15 12 810 894510 -17 41 29 10 1 1097.250000 461.546656 0.420639 1000.000000 1000 3992 0.085174 0.184007 1.000000 1.000000 0 V 7 0 91.875394 0 1.642857
16 12 783 907618 -9 20 21 8 1 1105.604651 486.276761 0.439829 1000.000000 1000 3996 0.091590 0.190173 0.000000 0.000000 0 V 7 0 85.016903 0 1.533333
17 12 785 920539 -10 22 22 8 1 1114.662791 511.269069 0.458676 1000.000000 1000 3998 0.098359 0.196754 1.000000 1.000000 0 V 8 0 96.016146 0 1.500000
18 12 793 930190 -14 59 26 10 1 1123.029070 533.532005 0.475083 1000.000000 1000 3999 0.104501 0.202738 8.000000 7.071068 0 V 7 7 88.364070 0 1.882353
19 12 769 940281 -3 12 15 7 1 1130.459302 549.956588 0.486490 1000.000000 1000 3999 0.109750 0.207978 8.000000 7.071068 0 V 8 0 83.600004 0 2.222222
20 12 791 948708 -16 75 28 9 1 1139.180233 569.169108 0.499630 1000.000000 1000 4000 0.115858 0.214041 7.000000 5.385165 0 V 6 5 83.585326 0 2.473684
21 12 785 955735 -10 22 22 8 1 1147.087209 586.059514 0.510911 1000.000000 1000 4000 0.121253 0.219459 8.000000 5.830952 0 V 9 0 83.577221 0 2.750000
