# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-11,6,472,472000,23.3397
2,17,20,-3,-11,6,472,472450,16.9898
3,17,20,-3,-11,6,472,475548,17.4933
4,17,20,-3,-11,6,472,477228,17.2117
5,17,14,3,-5,0,476,480106,16.6097
6,12,14,-2,-5,6,476,480106,16.3162
7,12,15,-3,-6,6,476,480900,71.9359
8,12,20,-8,-11,10,472,482706,17.7944
9,12,16,-4,-7,10,474,485534,17.331
10,12,14,-2,-5,6,476,491230,18.0668
11,12,15,-3,-6,6,476,492056,17.7602
12,12,14,-2,-5,6,476,495304,17.5989
13,12,15,-3,-6,6,476,496306,18.0536
14,12,15,-3,-6,6,476,500128,18.1187
15,12,15,-3,-6,6,476,501730,17.5168
16,12,16,-4,-7,10,474,503866,17.6704
17,12,16,-4,-7,10,474,506810,17.491
18,12,29,-17,-20,9,490,511140,17.6402
19,12,15,-3,-6,6,476,515010,17.3997
20,12,29,-17,-20,8,490,517719,17.6654
21,12,15,-3,-6,6,476,526444,16.502
22,12,15,-3,-6,6,476,530356,16.4929
23,12,13,-1,-4,6,478,531126,16.7599
24,12,13,-1,-4,6,478,534350,17.0679
25,12,13,-1,-4,6,478,535576,16.5039
26,12,22,-10,-13,10,474,537292,17.4432
27,12,12,0,-3,0,482,540462,16.5038
28,11,12,-1,-3,8,482,540462,16.6433
29,11,22,-11,-13,11,474,541826,17.5959
30,11,12,-1,-3,8,482,549643,16.7863
31,11,12,-1,-3,8,482,552619,16.6674
32,11,12,-1,-3,8,482,554880,16.733
33,11,12,-1,-3,8,482,557423,16.5214
34,11,12,-1,-3,8,482,558456,16.7143
35,11,12,-1,-3,8,482,562069,16.7499
36,11,12,-1,-3,8,482,562730,16.5293
37,11,16,-5,-7,11,480,564679,17.2825
38,11,12,-1,-3,8,482,568058,16.7633
39,11,20,-9,-11,11,488,571054,17.5506
40,11,12,-1,-3,4,485,578668,16.769
41,11,20,-9,-11,6,492,579472,17.0461
42,11,16,-5,-7,6,484,584089,17.1427
43,11,12,-1,-3,4,485,586257,16.7493
44,11,11,0,-2,0,488,588190,16.6721
45,10,11,-1,-2,10,488,588190,16.6059
46,10,12,-2,-3,10,485,589427,17.1396
47,10,16,-6,-7,11,484,592477,17.0546
48,10,11,-1,-2,10,488,596010,16.8166
49,10,11,-1,-2,10,488,601488,16.8224
50,10,11,-1,-2,10,488,602624,16.6937
51,10,29,-19,-20,11,488,604811,17.1623
52,10,14,-4,-5,11,489,608538,17.148
53,10,29,-19,-20,10,492,616477,17.1111
54,10,14,-4,-5,6,497,625223,17.5896
55,10,11,-1,-2,5,496,628324,16.9557
56,10,11,-1,-2,5,496,630546,17.0619
57,10,11,-1,-2,5,496,631366,16.4549
58,10,8,2,1,0,504,633282,16.6028
