# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-12,6,472,472000,22.1388
2,17,20,-3,-12,6,472,472450,17.0092
3,17,20,-3,-12,6,472,475548,17.0644
4,17,20,-3,-12,6,472,477228,17.1542
5,17,14,3,-6,0,476,480106,16.4407
6,12,14,-2,-6,6,476,480106,16.2642
7,12,15,-3,-7,6,476,480900,16.3312
8,12,20,-8,-12,10,472,482706,16.7454
9,12,16,-4,-8,10,474,485534,16.9689
10,12,14,-2,-6,6,476,491230,16.024
11,12,15,-3,-7,6,476,492056,16.3422
12,12,14,-2,-6,6,476,495304,16.3158
13,12,15,-3,-7,6,476,496306,16.3556
14,12,15,-3,-7,6,476,500128,16.3989
15,12,15,-3,-7,6,476,501730,16.411
16,12,16,-4,-8,10,474,503866,16.9987
17,12,16,-4,-8,10,474,506810,17.2671
18,12,29,-17,-21,9,490,511140,17.366
19,12,15,-3,-7,6,476,515010,16.7188
20,12,29,-17,-21,8,490,517719,17.4466
21,12,15,-3,-7,6,476,526444,74.4087
22,12,15,-3,-7,6,476,530356,18.614
23,12,13,-1,-5,6,478,531126,16.8883
24,12,13,-1,-5,6,478,534350,17.1071
25,12,13,-1,-5,6,478,535576,16.8119
26,12,22,-10,-14,10,474,537292,17.3705
27,12,12,0,-4,0,482,540462,16.4888
28,11,12,-1,-4,8,482,540462,16.6436
29,11,22,-11,-14,11,474,541826,17.3906
30,11,12,-1,-4,8,482,549643,16.684
31,11,12,-1,-4,8,482,552619,16.6659
32,11,12,-1,-4,8,482,554880,16.7813
33,11,12,-1,-4,8,482,557423,16.4986
34,11,12,-1,-4,8,482,558456,16.7437
35,11,12,-1,-4,8,482,562069,16.3891
36,11,12,-1,-4,8,482,562730,16.5205
37,11,16,-5,-8,11,480,564679,17.527
38,11,12,-1,-4,8,482,568058,16.5733
39,11,20,-9,-12,11,488,571054,17.5533
40,11,12,-1,-4,4,485,578668,16.8051
41,11,20,-9,-12,6,492,579472,16.7641
42,11,16,-5,-8,6,484,584089,17.458
43,11,12,-1,-4,4,485,586257,16.6418
44,11,11,0,-3,0,488,588190,16.7515
45,10,11,-1,-3,10,488,588190,17.2366
46,10,12,-2,-4,10,485,589427,16.6293
47,10,16,-6,-8,11,484,592477,16.8067
48,10,11,-1,-3,10,488,596010,16.6609
49,10,11,-1,-3,10,488,601488,16.5937
50,10,11,-1,-3,10,488,602624,16.5926
51,10,29,-19,-21,11,488,604811,17.0296
52,10,14,-4,-6,11,489,608538,16.9768
53,10,29,-19,-21,10,492,616477,16.9601
54,10,14,-4,-6,6,497,625223,17.3098
55,10,11,-1,-3,5,496,628324,16.9673
56,10,11,-1,-3,5,496,630546,16.7046
57,10,11,-1,-3,5,496,631366,17.0103
58,10,8,2,0,0,504,633282,16.5067
