# T_prime evolution (target T=8)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,8,20,-4,-12,6,472,472000,23.7662,,,,
round,2,16,8,20,-4,-12,6,472,472222,17.9206,,,,
round,3,16,8,20,-4,-12,6,472,473704,17.78,,,,
round,4,16,8,20,-4,-12,6,472,474380,17.8905,,,,
round,5,16,8,20,-4,-12,6,472,477030,76.8729,,,,
round,6,16,8,20,-4,-12,6,472,478120,19.9591,,,,
round,7,16,8,14,2,-6,0,476,480336,17.0536,,,,
tighten,7,,,,,,,,,,16,12,,15
round,8,12,8,14,-2,-6,6,476,480336,16.9688,,,,
round,9,12,8,15,-3,-7,6,476,480686,16.9723,,,,
round,10,12,8,15,-3,-7,6,476,481344,17.032,,,,
round,11,12,8,15,-3,-7,6,476,481942,17.0367,,,,
round,12,12,8,20,-8,-12,8,474,483018,17.4004,,,,
round,13,12,8,15,-3,-7,6,476,484185,17.2162,,,,
round,14,12,8,20,-8,-12,10,472,484823,17.8544,,,,
round,15,12,8,20,-8,-12,8,474,485825,50.5785,,,,
round,16,12,8,15,-3,-7,6,476,488575,16.7123,,,,
round,17,12,8,15,-3,-7,6,476,489642,16.7153,,,,
round,18,12,8,20,-8,-12,10,473,490959,17.4544,,,,
round,19,12,8,16,-4,-8,10,474,492343,17.4972,,,,
round,20,12,8,15,-3,-7,6,476,495867,16.7057,,,,
round,21,12,8,15,-3,-7,6,476,496569,16.7639,,,,
round,22,12,8,15,-3,-7,6,476,499435,17.4154,,,,
round,23,12,8,15,-3,-7,6,476,500174,16.7436,,,,
round,24,12,8,16,-4,-8,10,474,502239,17.4732,,,,
round,25,12,8,16,-4,-8,10,474,502923,17.4694,,,,
round,26,12,8,26,-14,-18,8,483,507889,17.1174,,,,
round,27,12,8,15,-3,-7,6,476,508525,16.6984,,,,
round,28,12,8,29,-17,-21,8,490,510023,17.4756,,,,
round,29,12,8,26,-14,-18,8,483,512393,17.2433,,,,
round,30,12,8,15,-3,-7,6,476,515364,16.6562,,,,
round,31,12,8,13,-1,-5,6,478,516462,16.7406,,,,
round,32,12,8,16,-4,-8,10,476,517968,17.3012,,,,
round,33,12,8,16,-4,-8,10,476,518909,17.3476,,,,
round,34,12,8,13,-1,-5,6,478,523565,16.8264,,,,
round,35,12,8,13,-1,-5,6,478,524065,16.7255,,,,
round,36,12,8,29,-17,-21,8,492,526294,17.4316,,,,
round,37,12,8,13,-1,-5,6,478,527588,16.771,,,,
round,38,12,8,22,-10,-14,10,474,529951,17.619,,,,
round,39,12,8,29,-17,-21,8,496,531884,17.3628,,,,
round,40,12,8,13,-1,-5,6,478,533462,16.7432,,,,
round,41,12,8,16,-4,-8,10,480,535356,17.4568,,,,
round,42,12,8,12,0,-4,0,482,539022,16.7717,,,,
tighten,42,,,,,,,,,,12,10,,11
round,43,10,8,12,-2,-4,10,482,539022,16.6472,,,,
round,44,10,8,13,-3,-5,10,478,540440,16.7787,,,,
round,45,10,8,12,-2,-4,10,482,541102,16.6853,,,,
round,46,10,8,12,-2,-4,10,482,543152,16.9064,,,,
round,47,10,8,16,-6,-8,11,480,544058,17.434,,,,
round,48,10,8,16,-6,-8,11,480,547311,17.49,,,,
round,49,10,8,12,-2,-4,10,482,548400,16.7028,,,,
round,50,10,8,12,-2,-4,10,482,550925,16.7839,,,,
round,51,10,8,16,-6,-8,11,480,552298,17.4366,,,,
round,52,10,8,29,-19,-21,8,496,554601,17.5317,,,,
round,53,10,8,12,-2,-4,10,482,557331,16.6673,,,,
round,54,10,8,16,-6,-8,11,480,559993,46.0309,,,,
round,55,10,8,29,-19,-21,8,496,561371,17.3161,,,,
round,56,10,8,12,-2,-4,10,482,564536,16.6187,,,,
round,57,10,8,12,-2,-4,10,482,568726,62.9463,,,,
round,58,10,8,12,-2,-4,10,482,572670,19.7666,,,,
round,59,10,8,16,-6,-8,10,480,573650,20.4341,,,,
round,60,10,8,16,-6,-8,11,480,576952,20.37,,,,
round,61,10,8,29,-19,-21,10,496,580782,20.5376,,,,
round,62,10,8,12,-2,-4,10,482,587214,19.9905,,,,
round,63,10,8,12,-2,-4,10,485,587749,19.8885,,,,
round,64,10,8,29,-19,-21,8,496,590822,20.514,,,,
round,65,10,8,11,-1,-3,10,488,594039,20.0527,,,,
round,66,10,8,14,-4,-6,13,490,598421,18.1677,,,,
round,67,10,8,11,-1,-3,10,488,600032,17.393,,,,
round,68,10,8,16,-6,-8,10,480,603964,17.9605,,,,
round,69,10,8,11,-1,-3,10,488,606332,17.4341,,,,
round,70,10,8,29,-19,-21,10,492,610860,17.7631,,,,
round,71,10,8,11,-1,-3,10,488,611897,17.3456,,,,
round,72,10,8,11,-1,-3,10,488,616187,17.3667,,,,
round,73,10,8,14,-4,-6,12,489,617947,17.6993,,,,
round,74,10,8,29,-19,-21,11,493,621347,18.1262,,,,
round,75,10,8,14,-4,-6,6,497,622802,17.614,,,,
round,76,10,8,8,2,0,0,504,625861,17.2721,,,,
