# T_prime evolution (target T=11)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,11,20,-4,-9,6,472,472000,27.7178,,,,
round,2,16,11,20,-4,-9,6,472,472222,17.6353,,,,
round,3,16,11,20,-4,-9,6,472,473704,17.4111,,,,
round,4,16,11,20,-4,-9,6,472,474380,17.3788,,,,
round,5,16,11,20,-4,-9,6,472,477030,19.7311,,,,
round,6,16,11,20,-4,-9,6,472,478120,17.102,,,,
round,7,16,11,14,2,-3,0,476,480336,16.4239,,,,
tighten,7,,,,,,,,,,16,12,,15
round,8,12,11,14,-2,-3,6,476,480336,16.6594,,,,
round,9,12,11,15,-3,-4,6,476,480686,16.8607,,,,
round,10,12,11,15,-3,-4,6,476,481344,16.7455,,,,
round,11,12,11,15,-3,-4,6,476,481942,16.6256,,,,
round,12,12,11,20,-8,-9,8,474,483018,16.9732,,,,
round,13,12,11,15,-3,-4,6,476,484185,16.6007,,,,
round,14,12,11,20,-8,-9,10,472,484823,17.2093,,,,
round,15,12,11,20,-8,-9,8,474,485825,16.8997,,,,
round,16,12,11,15,-3,-4,6,476,488575,16.4286,,,,
round,17,12,11,15,-3,-4,6,476,489642,16.5321,,,,
round,18,12,11,20,-8,-9,10,473,490959,17.1435,,,,
round,19,12,11,16,-4,-5,10,474,492343,17.1617,,,,
round,20,12,11,15,-3,-4,6,476,495867,16.369,,,,
round,21,12,11,15,-3,-4,6,476,496569,16.4899,,,,
round,22,12,11,15,-3,-4,6,476,499435,16.4694,,,,
round,23,12,11,15,-3,-4,6,476,500174,16.4083,,,,
round,24,12,11,16,-4,-5,10,474,502239,17.2196,,,,
round,25,12,11,16,-4,-5,10,474,502923,17.1739,,,,
round,26,12,11,26,-14,-15,8,483,507889,47.0243,,,,
round,27,12,11,15,-3,-4,6,476,508525,16.8789,,,,
round,28,12,11,29,-17,-18,8,490,510023,17.5077,,,,
round,29,12,11,26,-14,-15,8,483,512393,17.0514,,,,
round,30,12,11,15,-3,-4,6,476,515364,16.9062,,,,
round,31,12,11,13,-1,-2,6,478,516462,16.7846,,,,
round,32,12,11,16,-4,-5,10,476,517968,17.4464,,,,
round,33,12,11,16,-4,-5,10,476,518909,17.4286,,,,
round,34,12,11,13,-1,-2,6,478,523565,16.9149,,,,
round,35,12,11,13,-1,-2,6,478,524065,16.8082,,,,
round,36,12,11,29,-17,-18,8,492,526294,17.4915,,,,
round,37,12,11,13,-1,-2,6,478,527588,16.7745,,,,
round,38,12,11,22,-10,-11,10,474,529951,17.5505,,,,
round,39,12,11,29,-17,-18,8,496,531884,17.5966,,,,
round,40,12,11,13,-1,-2,6,478,533462,16.7568,,,,
round,41,12,11,16,-4,-5,10,480,535356,17.5192,,,,
round,42,12,11,12,0,-1,0,482,539022,16.7842,,,,
tighten,42,,,,,,,,,,12,11,,11
round,43,11,11,12,-1,-1,8,482,539022,16.81,,,,
round,44,11,11,12,-1,-1,8,482,539886,17.0262,,,,
round,45,11,11,13,-2,-2,8,478,540495,16.7939,,,,
round,46,11,11,12,-1,-1,8,482,541696,16.9279,,,,
round,47,11,11,12,-1,-1,8,482,542138,16.8809,,,,
round,48,11,11,16,-5,-5,11,480,543773,17.4147,,,,
round,49,11,11,12,-1,-1,8,482,544552,16.8443,,,,
round,50,11,11,12,-1,-1,8,482,546867,16.7967,,,,
round,51,11,11,12,-1,-1,8,482,547347,16.9345,,,,
round,52,11,11,16,-5,-5,11,480,548473,17.4535,,,,
round,53,11,11,12,-1,-1,8,482,549880,16.8455,,,,
round,54,11,11,16,-5,-5,11,480,551220,17.4788,,,,
round,55,11,11,29,-18,-18,8,496,553600,17.3747,,,,
round,56,11,11,12,-1,-1,8,482,554766,16.947,,,,
round,57,11,11,16,-5,-5,11,480,557312,18.0478,,,,
round,58,11,11,29,-18,-18,8,496,559669,17.5921,,,,
round,59,11,11,12,-1,-1,8,482,562006,16.7889,,,,
round,60,11,11,12,-1,-1,8,482,564430,16.7963,,,,
round,61,11,11,12,-1,-1,8,482,565832,16.9008,,,,
round,62,11,11,16,-5,-5,9,481,567536,17.2753,,,,
round,63,11,11,12,-1,-1,8,482,568920,16.8575,,,,
round,64,11,11,16,-5,-5,10,481,571042,17.1091,,,,
round,65,11,11,16,-5,-5,9,481,572328,17.2806,,,,
round,66,11,11,16,-5,-5,10,481,575418,17.2967,,,,
round,67,11,11,12,-1,-1,8,482,576708,17.0116,,,,
round,68,11,11,29,-18,-18,9,496,578175,25.047,,,,
round,69,11,11,11,0,0,0,488,582255,16.6368,,,,
