# T_prime evolution (target T=10)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,10,20,-4,-10,6,472,472000,40.5587,,,,
round,2,16,10,20,-4,-10,6,472,472222,19.9327,,,,
round,3,16,10,20,-4,-10,6,472,473704,19.1356,,,,
round,4,16,10,20,-4,-10,6,472,474380,18.4865,,,,
round,5,16,10,20,-4,-10,6,472,477030,18.3167,,,,
round,6,16,10,20,-4,-10,6,472,478120,18.5118,,,,
round,7,16,10,14,2,-4,0,476,480336,55.5135,,,,
tighten,7,,,,,,,,,,16,12,,15
round,8,12,10,14,-2,-4,6,476,480336,17.6963,,,,
round,9,12,10,15,-3,-5,6,476,480686,17.7082,,,,
round,10,12,10,15,-3,-5,6,476,481344,17.591,,,,
round,11,12,10,15,-3,-5,6,476,481942,17.6183,,,,
round,12,12,10,20,-8,-10,8,474,483018,18.0419,,,,
round,13,12,10,15,-3,-5,6,476,484185,17.5317,,,,
round,14,12,10,20,-8,-10,10,472,484823,18.3585,,,,
round,15,12,10,20,-8,-10,8,474,485825,17.9012,,,,
round,16,12,10,15,-3,-5,6,476,488575,17.444,,,,
round,17,12,10,15,-3,-5,6,476,489642,17.5385,,,,
round,18,12,10,20,-8,-10,10,473,490959,18.1387,,,,
round,19,12,10,16,-4,-6,10,474,492343,18.1825,,,,
round,20,12,10,15,-3,-5,6,476,495867,17.5717,,,,
round,21,12,10,15,-3,-5,6,476,496569,17.4644,,,,
round,22,12,10,15,-3,-5,6,476,499435,17.4396,,,,
round,23,12,10,15,-3,-5,6,476,500174,17.4074,,,,
round,24,12,10,16,-4,-6,10,474,502239,18.1339,,,,
round,25,12,10,16,-4,-6,10,474,502923,18.2338,,,,
round,26,12,10,26,-14,-16,8,483,507889,17.8154,,,,
round,27,12,10,15,-3,-5,6,476,508525,48.8173,,,,
round,28,12,10,29,-17,-19,8,490,510023,18.2419,,,,
round,29,12,10,26,-14,-16,8,483,512393,17.6581,,,,
round,30,12,10,15,-3,-5,6,476,515364,17.5918,,,,
round,31,12,10,13,-1,-3,6,478,516462,17.4622,,,,
round,32,12,10,16,-4,-6,10,476,517968,18.1366,,,,
round,33,12,10,16,-4,-6,10,476,518909,18.1119,,,,
round,34,12,10,13,-1,-3,6,478,523565,17.4664,,,,
round,35,12,10,13,-1,-3,6,478,524065,17.5587,,,,
round,36,12,10,29,-17,-19,8,492,526294,18.1767,,,,
round,37,12,10,13,-1,-3,6,478,527588,17.4097,,,,
round,38,12,10,22,-10,-12,10,474,529951,18.2072,,,,
round,39,12,10,29,-17,-19,8,496,531884,18.141,,,,
round,40,12,10,13,-1,-3,6,478,533462,17.3852,,,,
round,41,12,10,16,-4,-6,10,480,535356,18.276,,,,
round,42,12,10,12,0,-2,0,482,539022,92.3934,,,,
tighten,42,,,,,,,,,,12,10,,11
round,43,10,10,12,-2,-2,10,482,539022,28.9598,,,,
round,44,10,10,13,-3,-3,10,478,540440,19.7854,,,,
round,45,10,10,12,-2,-2,10,482,541102,19.7721,,,,
round,46,10,10,12,-2,-2,10,482,543152,19.7375,,,,
round,47,10,10,16,-6,-6,11,480,544058,21.0725,,,,
round,48,10,10,16,-6,-6,11,480,547311,20.1135,,,,
round,49,10,10,12,-2,-2,10,482,548400,19.2245,,,,
round,50,10,10,12,-2,-2,10,482,550925,19.34,,,,
round,51,10,10,16,-6,-6,11,480,552298,19.8968,,,,
round,52,10,10,29,-19,-19,8,496,554601,20.1321,,,,
round,53,10,10,12,-2,-2,10,482,557331,19.2667,,,,
round,54,10,10,16,-6,-6,11,480,559993,66.8172,,,,
round,55,10,10,29,-19,-19,8,496,561371,20.5953,,,,
round,56,10,10,12,-2,-2,10,482,564536,19.7343,,,,
round,57,10,10,12,-2,-2,10,482,568726,19.7227,,,,
round,58,10,10,12,-2,-2,10,482,572670,19.7403,,,,
round,59,10,10,16,-6,-6,10,480,573650,20.7207,,,,
round,60,10,10,16,-6,-6,11,480,576952,20.3373,,,,
round,61,10,10,29,-19,-19,10,496,580782,20.5269,,,,
round,62,10,10,12,-2,-2,10,482,587214,19.6946,,,,
round,63,10,10,12,-2,-2,10,485,587749,73.1371,,,,
round,64,10,10,29,-19,-19,8,496,590822,20.4074,,,,
round,65,10,10,11,-1,-1,10,488,594039,19.7042,,,,
round,66,10,10,14,-4,-4,13,490,598421,20.4268,,,,
round,67,10,10,11,-1,-1,10,488,600032,19.7242,,,,
round,68,10,10,16,-6,-6,10,480,603964,20.6721,,,,
round,69,10,10,11,-1,-1,10,488,606332,19.7003,,,,
round,70,10,10,29,-19,-19,10,492,610860,20.0569,,,,
round,71,10,10,11,-1,-1,10,488,611897,19.7499,,,,
round,72,10,10,11,-1,-1,10,488,616187,19.6877,,,,
round,73,10,10,14,-4,-4,12,489,617947,20.0753,,,,
round,74,10,10,29,-19,-19,11,493,621347,20.4904,,,,
round,75,10,10,14,-4,-4,6,497,622802,20.5063,,,,
round,76,10,10,8,2,2,0,504,625861,19.6868,,,,
