# T_prime evolution (target T=12)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,12,20,-4,-8,6,472,472000,26.9079,,,,
round,2,16,12,20,-4,-8,6,472,472222,17.6958,,,,
round,3,16,12,20,-4,-8,6,472,473704,19.2979,,,,
round,4,16,12,20,-4,-8,6,472,474380,17.9591,,,,
round,5,16,12,20,-4,-8,6,472,477030,29.2455,,,,
round,6,16,12,20,-4,-8,6,472,478120,154.322,,,,
round,7,16,12,14,2,-2,0,476,480336,18.5266,,,,
tighten,7,,,,,,,,,,16,12,,15
round,8,12,12,14,-2,-2,6,476,480336,19.0067,,,,
round,9,12,12,15,-3,-3,6,476,480686,19.2295,,,,
round,10,12,12,15,-3,-3,6,476,481344,18.6621,,,,
round,11,12,12,15,-3,-3,6,476,481942,18.6586,,,,
round,12,12,12,20,-8,-8,8,474,483018,42.05,,,,
round,13,12,12,15,-3,-3,6,476,484185,18.6747,,,,
round,14,12,12,20,-8,-8,10,472,484823,19.3157,,,,
round,15,12,12,20,-8,-8,8,474,485825,18.9586,,,,
round,16,12,12,15,-3,-3,6,476,488575,18.5651,,,,
round,17,12,12,15,-3,-3,6,476,489642,22.4447,,,,
round,18,12,12,20,-8,-8,10,473,490959,19.2137,,,,
round,19,12,12,16,-4,-4,10,474,492343,19.2214,,,,
round,20,12,12,15,-3,-3,6,476,495867,18.5205,,,,
round,21,12,12,15,-3,-3,6,476,496569,18.5915,,,,
round,22,12,12,15,-3,-3,6,476,499435,18.4691,,,,
round,23,12,12,15,-3,-3,6,476,500174,17.5118,,,,
round,24,12,12,16,-4,-4,10,474,502239,17.6579,,,,
round,25,12,12,16,-4,-4,10,474,502923,17.6656,,,,
round,26,12,12,26,-14,-14,8,483,507889,17.4526,,,,
round,27,12,12,15,-3,-3,6,476,508525,17.0999,,,,
round,28,12,12,29,-17,-17,8,490,510023,17.1405,,,,
round,29,12,12,26,-14,-14,8,483,512393,16.7369,,,,
round,30,12,12,15,-3,-3,6,476,515364,16.6685,,,,
round,31,12,12,13,-1,-1,6,478,516462,16.56,,,,
round,32,12,12,16,-4,-4,10,476,517968,20.521,,,,
round,33,12,12,16,-4,-4,10,476,518909,17.8252,,,,
round,34,12,12,13,-1,-1,6,478,523565,16.895,,,,
round,35,12,12,13,-1,-1,6,478,524065,16.6617,,,,
round,36,12,12,29,-17,-17,8,492,526294,17.4983,,,,
round,37,12,12,13,-1,-1,6,478,527588,16.601,,,,
round,38,12,12,22,-10,-10,10,474,529951,17.3801,,,,
round,39,12,12,29,-17,-17,8,496,531884,17.4729,,,,
round,40,12,12,13,-1,-1,6,478,533462,16.5195,,,,
round,41,12,12,16,-4,-4,10,480,535356,17.2771,,,,
round,42,12,12,12,0,0,0,482,539022,16.5806,,,,
