# T_prime evolution (target T=17)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,17,17,20,-3,-3,6,472,472000,49.1999,,,,
round,2,17,17,20,-3,-3,6,472,472138,21.6489,,,,
round,3,17,17,20,-3,-3,6,472,473086,21.4659,,,,
round,4,17,17,20,-3,-3,6,472,473652,20.0288,,,,
round,5,17,17,20,-3,-3,6,472,475340,18.6419,,,,
round,6,17,17,20,-3,-3,6,472,476254,18.6705,,,,
round,7,17,17,20,-3,-3,3,474,478560,18.2827,,,,
round,8,17,17,15,2,2,0,476,479343,17.9615,,,,
