# T_prime evolution (target T=13)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,13,20,-4,-7,6,472,472000,23.8401,,,,
round,2,16,13,20,-4,-7,6,472,472222,17.3566,,,,
round,3,16,13,20,-4,-7,6,472,473704,17.5696,,,,
round,4,16,13,20,-4,-7,6,472,474380,17.3575,,,,
round,5,16,13,20,-4,-7,6,472,477030,17.1392,,,,
round,6,16,13,20,-4,-7,6,472,478120,17.1357,,,,
round,7,16,13,14,2,-1,0,476,480336,16.5941,,,,
tighten,7,,,,,,,,,,16,13,,15
round,8,13,13,14,-1,-1,4,476,480336,16.5697,,,,
round,9,13,13,15,-2,-2,4,476,480624,16.437,,,,
round,10,13,13,15,-2,-2,4,476,480752,16.2544,,,,
round,11,13,13,15,-2,-2,4,476,481238,16.4462,,,,
round,12,13,13,15,-2,-2,4,476,481734,16.3928,,,,
round,13,13,13,15,-2,-2,4,476,482394,16.3544,,,,
round,14,13,13,20,-7,-7,7,474,482860,16.9753,,,,
round,15,13,13,15,-2,-2,4,476,483952,16.7061,,,,
round,16,13,13,20,-7,-7,10,472,484496,67.9289,,,,
round,17,13,13,16,-3,-3,7,475,485138,19.1208,,,,
round,18,13,13,15,-2,-2,4,476,486534,19.1932,,,,
round,19,13,13,15,-2,-2,4,476,487730,18.6592,,,,
round,20,13,13,16,-3,-3,10,474,488361,19.3823,,,,
round,21,13,13,14,-1,-1,4,476,489736,18.6601,,,,
round,22,13,13,20,-7,-7,10,472,490624,19.3159,,,,
round,23,13,13,15,-2,-2,4,476,491363,22.6668,,,,
round,24,13,13,15,-2,-2,4,476,492931,18.5809,,,,
round,25,13,13,15,-2,-2,4,476,494790,18.6463,,,,
round,26,13,13,16,-3,-3,7,475,495252,19.0108,,,,
round,27,13,13,15,-2,-2,4,476,496923,18.5342,,,,
round,28,13,13,16,-3,-3,7,475,497270,18.9517,,,,
round,29,13,13,16,-3,-3,7,475,499220,19.1854,,,,
round,30,13,13,15,-2,-2,4,476,500388,18.6844,,,,
round,31,13,13,16,-3,-3,7,475,501506,18.9067,,,,
round,32,13,13,16,-3,-3,10,474,502823,17.9308,,,,
round,33,13,13,15,-2,-2,4,476,504789,16.6991,,,,
round,34,13,13,15,-2,-2,4,476,505986,16.6853,,,,
round,35,13,13,16,-3,-3,7,476,507200,16.8913,,,,
round,36,13,13,29,-16,-16,8,491,508286,17.1898,,,,
round,37,13,13,29,-16,-16,8,491,509502,17.2963,,,,
round,38,13,13,14,-1,-1,2,477,511210,16.797,,,,
round,39,13,13,14,-1,-1,2,477,512148,16.6998,,,,
round,40,13,13,16,-3,-3,5,477,512784,17.4457,,,,
round,41,13,13,22,-9,-9,7,476,513042,17.0172,,,,
round,42,13,13,13,0,0,0,478,514534,16.8721,,,,
