M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
16,16,2,8,8,150,25,55,8,1072,1303231,0,YES,55,2,10,446,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_8.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_8.txt
16,16,2,8,9,150,23,55,8,1072,1303231,0,YES,55,2,10,431,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_9.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_9.txt
16,16,2,8,10,150,24,55,8,1072,1303231,0,YES,55,2,10,435,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_10.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_10.txt
16,16,2,8,11,150,26,57,8,1072,1292240,0,YES,57,2,11,442,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_11.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_11.txt
16,16,2,8,12,150,17,41,12,1050,1223741,0,YES,41,1,12,426,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_12.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_12.txt
16,16,2,8,13,150,14,32,13,1046,1119216,0,YES,32,1,13,440,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_13.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_13.txt
16,16,2,8,14,150,3,7,14,1044,1047984,0,YES,7,1,14,430,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_14.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_14.txt
16,16,2,8,15,150,2,5,15,1044,1047816,0,YES,5,0,16,440,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_15.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_15.txt
16,16,2,8,16,150,3,5,15,1044,1047816,0,YES,5,0,16,429,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_16.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_16.txt
16,16,2,8,17,150,3,7,15,1044,1048328,0,YES,7,0,17,438,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_17.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_17.txt
16,16,2,8,18,150,0,2,18,1040,1040324,0,YES,2,0,18,405,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_18.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_18.txt
16,16,2,8,19,150,1,2,18,1040,1040144,0,YES,2,0,19,420,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/logs/multicol_16x16_K2_T_19.log,results_multicol_16x16_20251030_222503/K2_16x16_T8-20/placement16_Col_2_T_19.txt
