M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
32,36,4,9,9,150,6,94,9,720,942424,0,YES,94,3,11,57,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_9.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_9.txt
32,36,4,9,10,150,4,94,9,720,942424,0,YES,94,3,11,48,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_10.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_10.txt
32,36,4,9,11,150,5,94,9,720,942424,0,YES,94,3,11,52,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_11.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_11.txt
32,36,4,9,12,150,5,99,12,700,907499,0,YES,99,3,12,53,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_12.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_12.txt
32,36,4,9,13,150,3,57,13,692,804004,0,YES,57,2,13,46,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_13.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_13.txt
32,36,4,9,14,150,12,70,14,686,785346,0,YES,70,2,14,167,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_14.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_14.txt
32,36,4,9,15,150,14,56,15,682,738166,0,YES,56,2,15,251,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_15.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_15.txt
32,36,4,9,16,150,2,16,16,680,693650,0,YES,16,1,16,100,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_16.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_16.txt
32,36,4,9,17,150,2,18,17,680,693900,0,YES,18,1,17,143,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_17.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_17.txt
32,36,4,9,18,150,2,22,16,680,693199,0,YES,22,1,18,60,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_18.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_18.txt
32,36,4,9,19,150,0,8,19,670,678916,0,YES,8,0,19,42,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_19.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_19.txt
32,36,4,9,20,150,0,10,19,670,679623,0,YES,10,0,20,45,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_20.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_20.txt
32,36,4,9,21,150,1,14,19,670,680416,0,YES,14,0,21,41,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_21.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_21.txt
32,36,4,9,22,150,1,20,19,670,679660,0,YES,20,0,22,41,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/logs/multicol_32x36_K4_T_22.log,results_multicol_32x36_20251208_122236/K4_32x36_T9-22/placement32_Col_4_T_22.txt
