# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-7,6,472,472000,24.1048
2,17,20,-3,-7,6,472,472450,17.693
3,17,20,-3,-7,6,472,475548,17.818
4,17,20,-3,-7,6,472,477228,17.9524
5,17,14,3,-1,0,476,480106,17.2488
6,13,14,-1,-1,4,476,480106,17.1299
7,13,15,-2,-2,4,476,480694,17.1461
8,13,20,-7,-7,7,474,481384,17.4053
9,13,15,-2,-2,4,476,483164,17.8049
10,13,20,-7,-7,10,473,484667,18.1229
11,13,16,-3,-3,7,475,486822,17.7493
12,13,15,-2,-2,4,476,489754,17.3171
13,13,15,-2,-2,4,476,491039,17.3296
14,13,15,-2,-2,4,476,492421,17.3323
15,13,15,-2,-2,4,476,493356,17.608
16,13,15,-2,-2,4,476,495030,17.495
17,13,15,-2,-2,4,476,496159,17.4299
18,13,15,-2,-2,4,476,497989,17.3927
19,13,16,-3,-3,7,475,499202,17.5951
20,13,16,-3,-3,10,474,500195,17.873
21,13,15,-2,-2,4,476,503473,17.379
22,13,16,-3,-3,7,475,505126,17.5746
23,13,15,-2,-2,4,476,506512,17.2292
24,13,26,-13,-13,6,483,508525,17.8317
25,13,20,-7,-7,6,484,510085,17.6559
26,13,13,0,0,0,478,515016,17.5577
