# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-10,6,472,472000,23.6069
2,17,20,-3,-10,6,472,472450,17.7117
3,17,20,-3,-10,6,472,475548,17.7617
4,17,20,-3,-10,6,472,477228,17.8035
5,17,14,3,-4,0,476,480106,17.1473
6,12,14,-2,-4,6,476,480106,17.0579
7,12,15,-3,-5,6,476,480900,17.4482
8,12,20,-8,-10,10,472,482706,17.6316
9,12,16,-4,-6,10,474,485534,17.6162
10,12,14,-2,-4,6,476,491230,88.4618
11,12,15,-3,-5,6,476,492056,16.8287
12,12,14,-2,-4,6,476,495304,16.8313
13,12,15,-3,-5,6,476,496306,16.6498
14,12,15,-3,-5,6,476,500128,16.7493
15,12,15,-3,-5,6,476,501730,67.9392
16,12,16,-4,-6,10,474,503866,17.3953
17,12,16,-4,-6,10,474,506810,17.63
18,12,29,-17,-19,9,490,511140,17.8284
19,12,15,-3,-5,6,476,515010,17.2285
20,12,29,-17,-19,8,490,517719,17.8819
21,12,15,-3,-5,6,476,526444,16.7899
22,12,15,-3,-5,6,476,530356,16.7449
23,12,13,-1,-3,6,478,531126,17.0672
24,12,13,-1,-3,6,478,534350,17.5207
25,12,13,-1,-3,6,478,535576,16.8495
26,12,22,-10,-12,10,474,537292,17.633
27,12,12,0,-2,0,482,540462,16.7737
28,11,12,-1,-2,8,482,540462,16.743
29,11,22,-11,-12,11,474,541826,17.6656
30,11,12,-1,-2,8,482,549643,16.8462
31,11,12,-1,-2,8,482,552619,16.7832
32,11,12,-1,-2,8,482,554880,17.0754
33,11,12,-1,-2,8,482,557423,16.7205
34,11,12,-1,-2,8,482,558456,17.0153
35,11,12,-1,-2,8,482,562069,16.8216
36,11,12,-1,-2,8,482,562730,16.9236
37,11,16,-5,-6,11,480,564679,17.7481
38,11,12,-1,-2,8,482,568058,16.8806
39,11,20,-9,-10,11,488,571054,17.3152
40,11,12,-1,-2,4,485,578668,16.8513
41,11,20,-9,-10,6,492,579472,17.1548
42,11,16,-5,-6,6,484,584089,17.1555
43,11,12,-1,-2,4,485,586257,16.7494
44,11,11,0,-1,0,488,588190,17.1801
45,10,11,-1,-1,10,488,588190,17.4008
46,10,12,-2,-2,10,485,589427,17.0542
47,10,16,-6,-6,11,484,592477,17.2021
48,10,11,-1,-1,10,488,596010,16.8911
49,10,11,-1,-1,10,488,601488,16.9748
50,10,11,-1,-1,10,488,602624,16.7745
51,10,29,-19,-19,11,488,604811,17.5081
52,10,14,-4,-4,11,489,608538,17.8698
53,10,29,-19,-19,10,492,616477,17.1598
54,10,14,-4,-4,6,497,625223,49.6848
55,10,11,-1,-1,5,496,628324,17.281
56,10,11,-1,-1,5,496,630546,16.738
57,10,11,-1,-1,5,496,631366,16.7058
58,10,8,2,2,0,504,633282,16.8256
