# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-8,6,472,472000,25.8482
2,17,20,-3,-8,6,472,472450,17.2922
3,17,20,-3,-8,6,472,475548,17.446
4,17,20,-3,-8,6,472,477228,18.1687
5,17,14,3,-2,0,476,480106,16.9669
6,12,14,-2,-2,6,476,480106,16.9662
7,12,15,-3,-3,6,476,480900,16.9503
8,12,20,-8,-8,10,472,482706,17.5891
9,12,16,-4,-4,10,474,485534,17.8835
10,12,14,-2,-2,6,476,491230,16.8439
11,12,15,-3,-3,6,476,492056,112.262
12,12,14,-2,-2,6,476,495304,19.7772
13,12,15,-3,-3,6,476,496306,31.714
14,12,15,-3,-3,6,476,500128,20.5864
15,12,15,-3,-3,6,476,501730,19.7178
16,12,16,-4,-4,10,474,503866,20.4832
17,12,16,-4,-4,10,474,506810,20.4457
18,12,29,-17,-17,9,490,511140,21.0874
19,12,15,-3,-3,6,476,515010,20.356
20,12,29,-17,-17,8,490,517719,20.7366
21,12,15,-3,-3,6,476,526444,19.5941
22,12,15,-3,-3,6,476,530356,19.6326
23,12,13,-1,-1,6,478,531126,19.8882
24,12,13,-1,-1,6,478,534350,20.1183
25,12,13,-1,-1,6,478,535576,19.8681
26,12,22,-10,-10,10,474,537292,20.432
27,12,12,0,0,0,482,540462,19.3226
