# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-9,6,472,472000,81.6655
2,17,20,-3,-9,6,472,472450,17.5882
3,17,20,-3,-9,6,472,475548,17.7667
4,17,20,-3,-9,6,472,477228,17.6426
5,17,14,3,-3,0,476,480106,17.1148
6,12,14,-2,-3,6,476,480106,19.6877
7,12,15,-3,-4,6,476,480900,16.846
8,12,20,-8,-9,10,472,482706,17.6788
9,12,16,-4,-5,10,474,485534,17.504
10,12,14,-2,-3,6,476,491230,16.7191
11,12,15,-3,-4,6,476,492056,16.7863
12,12,14,-2,-3,6,476,495304,16.7002
13,12,15,-3,-4,6,476,496306,16.6539
14,12,15,-3,-4,6,476,500128,16.8483
15,12,15,-3,-4,6,476,501730,16.7134
16,12,16,-4,-5,10,474,503866,17.3242
17,12,16,-4,-5,10,474,506810,17.3087
18,12,29,-17,-18,9,490,511140,17.6193
19,12,15,-3,-4,6,476,515010,17.1282
20,12,29,-17,-18,8,490,517719,17.648
21,12,15,-3,-4,6,476,526444,16.6641
22,12,15,-3,-4,6,476,530356,16.5892
23,12,13,-1,-2,6,478,531126,16.922
24,12,13,-1,-2,6,478,534350,17.0931
25,12,13,-1,-2,6,478,535576,16.6792
26,12,22,-10,-11,10,474,537292,17.4338
27,12,12,0,-1,0,482,540462,16.6255
28,11,12,-1,-1,8,482,540462,16.5303
29,11,22,-11,-11,11,474,541826,17.353
30,11,12,-1,-1,8,482,549643,16.4493
31,11,12,-1,-1,8,482,552619,16.8277
32,11,12,-1,-1,8,482,554880,16.8605
33,11,12,-1,-1,8,482,557423,16.3386
34,11,12,-1,-1,8,482,558456,16.3283
35,11,12,-1,-1,8,482,562069,16.2949
36,11,12,-1,-1,8,482,562730,16.4005
37,11,16,-5,-5,11,480,564679,17.3269
38,11,12,-1,-1,8,482,568058,16.362
39,11,20,-9,-9,11,488,571054,16.9858
40,11,12,-1,-1,4,485,578668,16.656
41,11,20,-9,-9,6,492,579472,16.6944
42,11,16,-5,-5,6,484,584089,16.8266
43,11,12,-1,-1,4,485,586257,16.2811
44,11,11,0,0,0,488,588190,16.2892
