# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-11,6,472,472000,23.1571
2,17,20,-3,-11,6,472,472450,18.1451
3,17,20,-3,-11,6,472,475548,18.5248
4,17,20,-3,-11,6,472,477228,18.1769
5,17,14,3,-5,0,476,480106,17.423
6,12,14,-2,-5,6,476,480106,17.3063
7,12,15,-3,-6,6,476,480900,90.1677
8,12,20,-8,-11,10,472,482706,17.4271
9,12,16,-4,-7,10,474,485534,17.371
10,12,14,-2,-5,6,476,491230,16.5404
11,12,15,-3,-6,6,476,492056,16.5854
12,12,14,-2,-5,6,476,495304,38.7627
13,12,15,-3,-6,6,476,496306,18.6194
14,12,15,-3,-6,6,476,500128,16.8927
15,12,15,-3,-6,6,476,501730,16.7115
16,12,16,-4,-7,10,474,503866,17.2569
17,12,16,-4,-7,10,474,506810,17.2819
18,12,29,-17,-20,9,490,511140,17.3642
19,12,15,-3,-6,6,476,515010,17.2487
20,12,29,-17,-20,8,490,517719,18.4725
21,12,15,-3,-6,6,476,526444,16.6708
22,12,15,-3,-6,6,476,530356,16.5232
23,12,13,-1,-4,6,478,531126,16.6898
24,12,13,-1,-4,6,478,534350,17.0245
25,12,13,-1,-4,6,478,535576,16.5901
26,12,22,-10,-13,10,474,537292,17.1797
27,12,12,0,-3,0,482,540462,16.5806
28,11,12,-1,-3,8,482,540462,16.5617
29,11,22,-11,-13,11,474,541826,17.1749
30,11,12,-1,-3,8,482,549643,16.3837
31,11,12,-1,-3,8,482,552619,16.5704
32,11,12,-1,-3,8,482,554880,16.6683
33,11,12,-1,-3,8,482,557423,16.3226
34,11,12,-1,-3,8,482,558456,16.4955
35,11,12,-1,-3,8,482,562069,16.342
36,11,12,-1,-3,8,482,562730,16.4208
37,11,16,-5,-7,11,480,564679,17.0391
38,11,12,-1,-3,8,482,568058,16.6318
39,11,20,-9,-11,11,488,571054,17.0434
40,11,12,-1,-3,4,485,578668,16.5361
41,11,20,-9,-11,6,492,579472,16.8023
42,11,16,-5,-7,6,484,584089,16.5365
43,11,12,-1,-3,4,485,586257,16.1455
44,11,11,0,-2,0,488,588190,16.606
45,10,11,-1,-2,10,488,588190,16.5345
46,10,12,-2,-3,10,485,589427,16.4442
47,10,16,-6,-7,11,484,592477,16.7144
48,10,11,-1,-2,10,488,596010,16.3877
49,10,11,-1,-2,10,488,601488,16.4443
50,10,11,-1,-2,10,488,602624,16.4411
51,10,29,-19,-20,11,488,604811,16.9264
52,10,14,-4,-5,11,489,608538,16.7378
53,10,29,-19,-20,10,492,616477,16.7927
54,10,14,-4,-5,6,497,625223,17.5312
55,10,11,-1,-2,5,496,628324,41.0491
56,10,11,-1,-2,5,496,630546,16.4642
57,10,11,-1,-2,5,496,631366,16.4232
58,10,8,2,1,0,504,633282,16.3872
