# T_prime evolution (target T=14)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,14,20,-4,-6,6,1040,1040000,404.409,,,,
round,2,16,14,18,-2,-4,6,1040,1041332,424.362,,,,
round,3,16,14,18,-2,-4,6,1040,1043528,439.589,,,,
round,4,16,14,18,-2,-4,3,1042,1046626,454.912,,,,
round,5,16,14,15,1,-1,0,1044,1047816,432.732,,,,
tighten,5,,,,,,,,,,16,14,,15
round,6,14,14,15,-1,-1,2,1044,1047816,433.277,,,,
round,7,14,14,14,0,0,0,1044,1047984,432.42,,,,
