# T_prime evolution (target T=9)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,9,20,-4,-11,6,1040,1040000,412.603,,,,
round,2,16,9,18,-2,-9,6,1040,1041332,417.06,,,,
round,3,16,9,18,-2,-9,6,1040,1043528,428.017,,,,
round,4,16,9,18,-2,-9,3,1042,1046626,426.199,,,,
round,5,16,9,15,1,-6,0,1044,1047816,420.395,,,,
tighten,5,,,,,,,,,,16,12,,15
round,6,12,9,15,-3,-6,6,1044,1047816,430.566,,,,
round,7,12,9,18,-6,-9,8,1042,1048520,427.39,,,,
round,8,12,9,18,-6,-9,8,1042,1050373,492.44,,,,
round,9,12,9,14,-2,-5,6,1044,1052533,413.92,,,,
round,10,12,9,18,-6,-9,8,1042,1054274,418.051,,,,
round,11,12,9,20,-8,-11,8,1042,1057023,478.886,,,,
round,12,12,9,26,-14,-17,10,1058,1060937,415.33,,,,
round,13,12,9,14,-2,-5,6,1044,1064721,423.3,,,,
round,14,12,9,20,-8,-11,10,1040,1066679,423.966,,,,
round,15,12,9,26,-14,-17,10,1058,1071173,445.317,,,,
round,16,12,9,14,-2,-5,6,1044,1078735,416.154,,,,
round,17,12,9,14,-2,-5,6,1044,1082323,421.383,,,,
round,18,12,9,20,-8,-11,10,1040,1084831,430.515,,,,
round,19,12,9,26,-14,-17,10,1058,1089516,425.273,,,,
round,20,12,9,14,-2,-5,6,1044,1100189,424.289,,,,
round,21,12,9,14,-2,-5,6,1044,1104704,425.484,,,,
round,22,12,9,32,-20,-23,11,1069,1106881,447.812,,,,
round,23,12,9,32,-20,-23,11,1069,1111911,426.348,,,,
round,24,12,9,26,-14,-17,10,1058,1117435,421.466,,,,
round,25,12,9,32,-20,-23,12,1098,1125073,491.539,,,,
round,26,12,9,14,-2,-5,6,1044,1136327,424.556,,,,
round,27,12,9,14,-2,-5,6,1044,1140858,421.663,,,,
round,28,12,9,20,-8,-11,10,1040,1143798,437.705,,,,
round,29,12,9,26,-14,-17,10,1058,1151688,429.252,,,,
round,30,12,9,32,-20,-23,12,1096,1154290,428.843,,,,
round,31,12,9,13,-1,-4,6,1046,1169487,414.734,,,,
round,32,12,9,13,-1,-4,6,1046,1173868,436.767,,,,
round,33,12,9,20,-8,-11,6,1046,1176842,414.717,,,,
round,34,12,9,20,-8,-11,6,1046,1182104,429.482,,,,
round,35,12,9,38,-26,-29,14,1156,1184763,438.886,,,,
round,36,12,9,32,-20,-23,12,1096,1192097,435.816,,,,
round,37,12,9,26,-14,-17,8,1066,1202104,427.742,,,,
round,38,12,9,38,-26,-29,14,1160,1206811,440.736,,,,
round,39,12,9,20,-8,-11,6,1046,1217341,421.872,,,,
round,40,12,9,13,-1,-4,3,1048,1222055,417.767,,,,
round,41,12,9,12,0,-3,0,1050,1223741,445.743,,,,
tighten,41,,,,,,,,,,12,10,,11
round,42,10,9,12,-2,-3,10,1050,1223741,436.656,,,,
round,43,10,9,21,-11,-12,9,1049,1225440,432.61,,,,
round,44,10,9,12,-2,-3,10,1050,1229934,432.466,,,,
round,45,10,9,21,-11,-12,11,1046,1232300,425.854,,,,
round,46,10,9,26,-16,-17,10,1051,1234189,423.058,,,,
round,47,10,9,32,-22,-23,12,1080,1238967,471.038,,,,
round,48,10,9,38,-28,-29,15,1128,1243305,439.044,,,,
round,49,10,9,38,-28,-29,13,1103,1253707,440.58,,,,
round,50,10,9,21,-11,-12,10,1046,1262333,431.327,,,,
round,51,10,9,26,-16,-17,11,1061,1265539,429.662,,,,
round,52,10,9,38,-28,-29,15,1130,1271307,447.408,,,,
round,53,10,9,38,-28,-29,15,1134,1279622,423.356,,,,
round,54,10,9,44,-34,-35,23,1235,1296020,464.265,,,,
round,55,10,9,8,2,1,0,1072,1303231,430.756,,,,
