# T_prime evolution (target T=8)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,8,20,-4,-12,6,1040,1040000,403.718,,,,
round,2,16,8,18,-2,-10,6,1040,1041332,419.186,,,,
round,3,16,8,18,-2,-10,6,1040,1043528,429.136,,,,
round,4,16,8,18,-2,-10,3,1042,1046626,470.034,,,,
round,5,16,8,15,1,-7,0,1044,1047816,458.441,,,,
tighten,5,,,,,,,,,,16,12,,15
round,6,12,8,15,-3,-7,6,1044,1047816,446.702,,,,
round,7,12,8,18,-6,-10,8,1042,1048520,432.297,,,,
round,8,12,8,18,-6,-10,8,1042,1050373,442.324,,,,
round,9,12,8,14,-2,-6,6,1044,1052533,432.27,,,,
round,10,12,8,18,-6,-10,8,1042,1054274,437.79,,,,
round,11,12,8,20,-8,-12,8,1042,1057023,435.504,,,,
round,12,12,8,26,-14,-18,10,1058,1060937,442.22,,,,
round,13,12,8,14,-2,-6,6,1044,1064721,457.497,,,,
round,14,12,8,20,-8,-12,10,1040,1066679,428.746,,,,
round,15,12,8,26,-14,-18,10,1058,1071173,430.177,,,,
round,16,12,8,14,-2,-6,6,1044,1078735,434.012,,,,
round,17,12,8,14,-2,-6,6,1044,1082323,422.98,,,,
round,18,12,8,20,-8,-12,10,1040,1084831,416.863,,,,
round,19,12,8,26,-14,-18,10,1058,1089516,418.093,,,,
round,20,12,8,14,-2,-6,6,1044,1100189,415.049,,,,
round,21,12,8,14,-2,-6,6,1044,1104704,425.885,,,,
round,22,12,8,32,-20,-24,11,1069,1106881,428.268,,,,
round,23,12,8,32,-20,-24,11,1069,1111911,415.529,,,,
round,24,12,8,26,-14,-18,10,1058,1117435,525.284,,,,
round,25,12,8,32,-20,-24,12,1098,1125073,430.839,,,,
round,26,12,8,14,-2,-6,6,1044,1136327,581.729,,,,
round,27,12,8,14,-2,-6,6,1044,1140858,421.376,,,,
round,28,12,8,20,-8,-12,10,1040,1143798,485.424,,,,
round,29,12,8,26,-14,-18,10,1058,1151688,443.925,,,,
round,30,12,8,32,-20,-24,12,1096,1154290,457.276,,,,
round,31,12,8,13,-1,-5,6,1046,1169487,440.098,,,,
round,32,12,8,13,-1,-5,6,1046,1173868,426.266,,,,
round,33,12,8,20,-8,-12,6,1046,1176842,426.413,,,,
round,34,12,8,20,-8,-12,6,1046,1182104,421.466,,,,
round,35,12,8,38,-26,-30,14,1156,1184763,452.082,,,,
round,36,12,8,32,-20,-24,12,1096,1192097,417.363,,,,
round,37,12,8,26,-14,-18,8,1066,1202104,423.131,,,,
round,38,12,8,38,-26,-30,14,1160,1206811,425.643,,,,
round,39,12,8,20,-8,-12,6,1046,1217341,409.09,,,,
round,40,12,8,13,-1,-5,3,1048,1222055,415.483,,,,
round,41,12,8,12,0,-4,0,1050,1223741,419.402,,,,
tighten,41,,,,,,,,,,12,10,,11
round,42,10,8,12,-2,-4,10,1050,1223741,489.371,,,,
round,43,10,8,21,-11,-13,9,1049,1225440,427.91,,,,
round,44,10,8,12,-2,-4,10,1050,1229934,421.134,,,,
round,45,10,8,21,-11,-13,11,1046,1232300,431.982,,,,
round,46,10,8,26,-16,-18,10,1051,1234189,438.013,,,,
round,47,10,8,32,-22,-24,12,1080,1238967,418.925,,,,
round,48,10,8,38,-28,-30,15,1128,1243305,439.103,,,,
round,49,10,8,38,-28,-30,13,1103,1253707,443.768,,,,
round,50,10,8,21,-11,-13,10,1046,1262333,432.492,,,,
round,51,10,8,26,-16,-18,11,1061,1265539,433.796,,,,
round,52,10,8,38,-28,-30,15,1130,1271307,434.208,,,,
round,53,10,8,38,-28,-30,15,1134,1279622,453.696,,,,
round,54,10,8,44,-34,-36,23,1235,1296020,466.25,,,,
round,55,10,8,8,2,0,0,1072,1303231,434.895,,,,
