# T_prime evolution (target T=10)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,10,20,-4,-10,6,1040,1040000,408.091,,,,
round,2,16,10,18,-2,-8,6,1040,1041332,426.715,,,,
round,3,16,10,18,-2,-8,6,1040,1043528,453.794,,,,
round,4,16,10,18,-2,-8,3,1042,1046626,444.063,,,,
round,5,16,10,15,1,-5,0,1044,1047816,435.821,,,,
tighten,5,,,,,,,,,,16,12,,15
round,6,12,10,15,-3,-5,6,1044,1047816,436.851,,,,
round,7,12,10,18,-6,-8,8,1042,1048520,460.293,,,,
round,8,12,10,18,-6,-8,8,1042,1050373,452.416,,,,
round,9,12,10,14,-2,-4,6,1044,1052533,451.981,,,,
round,10,12,10,18,-6,-8,8,1042,1054274,462.296,,,,
round,11,12,10,20,-8,-10,8,1042,1057023,441.843,,,,
round,12,12,10,26,-14,-16,10,1058,1060937,442.244,,,,
round,13,12,10,14,-2,-4,6,1044,1064721,476.703,,,,
round,14,12,10,20,-8,-10,10,1040,1066679,426.485,,,,
round,15,12,10,26,-14,-16,10,1058,1071173,439.662,,,,
round,16,12,10,14,-2,-4,6,1044,1078735,437.052,,,,
round,17,12,10,14,-2,-4,6,1044,1082323,431.43,,,,
round,18,12,10,20,-8,-10,10,1040,1084831,449.088,,,,
round,19,12,10,26,-14,-16,10,1058,1089516,436.543,,,,
round,20,12,10,14,-2,-4,6,1044,1100189,497.923,,,,
round,21,12,10,14,-2,-4,6,1044,1104704,431.002,,,,
round,22,12,10,32,-20,-22,11,1069,1106881,1419.24,,,,
round,23,12,10,32,-20,-22,11,1069,1111911,436.267,,,,
round,24,12,10,26,-14,-16,10,1058,1117435,436.058,,,,
round,25,12,10,32,-20,-22,12,1098,1125073,495.854,,,,
round,26,12,10,14,-2,-4,6,1044,1136327,435.649,,,,
round,27,12,10,14,-2,-4,6,1044,1140858,472.109,,,,
round,28,12,10,20,-8,-10,10,1040,1143798,446.108,,,,
round,29,12,10,26,-14,-16,10,1058,1151688,447.981,,,,
round,30,12,10,32,-20,-22,12,1096,1154290,439.894,,,,
round,31,12,10,13,-1,-3,6,1046,1169487,467.154,,,,
round,32,12,10,13,-1,-3,6,1046,1173868,435.293,,,,
round,33,12,10,20,-8,-10,6,1046,1176842,432.953,,,,
round,34,12,10,20,-8,-10,6,1046,1182104,439.845,,,,
round,35,12,10,38,-26,-28,14,1156,1184763,455.226,,,,
round,36,12,10,32,-20,-22,12,1096,1192097,443.808,,,,
round,37,12,10,26,-14,-16,8,1066,1202104,434.679,,,,
round,38,12,10,38,-26,-28,14,1160,1206811,445.078,,,,
round,39,12,10,20,-8,-10,6,1046,1217341,445.071,,,,
round,40,12,10,13,-1,-3,3,1048,1222055,935.037,,,,
round,41,12,10,12,0,-2,0,1050,1223741,539.771,,,,
tighten,41,,,,,,,,,,12,10,,11
round,42,10,10,12,-2,-2,10,1050,1223741,438.092,,,,
round,43,10,10,21,-11,-11,9,1049,1225440,436.618,,,,
round,44,10,10,12,-2,-2,10,1050,1229934,438.433,,,,
round,45,10,10,21,-11,-11,11,1046,1232300,436.967,,,,
round,46,10,10,26,-16,-16,10,1051,1234189,474.214,,,,
round,47,10,10,32,-22,-22,12,1080,1238967,432.409,,,,
round,48,10,10,38,-28,-28,15,1128,1243305,494.162,,,,
round,49,10,10,38,-28,-28,13,1103,1253707,430.654,,,,
round,50,10,10,21,-11,-11,10,1046,1262333,452.625,,,,
round,51,10,10,26,-16,-16,11,1061,1265539,439.523,,,,
round,52,10,10,38,-28,-28,15,1130,1271307,455.001,,,,
round,53,10,10,38,-28,-28,15,1134,1279622,453.166,,,,
round,54,10,10,44,-34,-34,23,1235,1296020,465.774,,,,
round,55,10,10,8,2,2,0,1072,1303231,442.879,,,,
