M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
16,16,2,8,8,150,3,150,29,504,635268,0,NO,NA,5,8,18,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_8.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_8.txt
16,16,2,8,9,150,3,150,29,504,635268,0,NO,NA,5,9,18,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_9.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_9.txt
16,16,2,8,10,150,3,150,29,504,635268,0,NO,NA,4,10,19,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_10.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_10.txt
16,16,2,8,11,150,0,37,11,488,577815,0,YES,37,3,11,21,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_11.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_11.txt
16,16,2,8,12,150,1,27,12,482,539286,0,YES,27,2,12,17,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_12.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_12.txt
16,16,2,8,13,150,3,150,26,478,526600,0,NO,NA,1,13,18,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_13.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_13.txt
16,16,2,8,14,150,2,150,26,476,480320,0,NO,NA,1,14,17,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_14.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_14.txt
16,16,2,8,15,150,3,150,26,476,480320,0,NO,NA,1,15,20,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_15.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_15.txt
16,16,2,8,16,150,3,150,26,476,480320,0,NO,NA,1,16,19,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_16.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_16.txt
16,16,2,8,17,150,3,150,26,476,480320,0,NO,NA,1,17,17,NA,NA,soft,0.5,0.5,0.45,4.5,2.0,2.0,0.3,0.88,0.90,64,1000,1,1,1,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/logs/multicol_16x16_K2_T_17.log,results_multicol_16x16_20251123_120424/K2_16x16_T8-20/placement16_Col_2_T_17.txt
