M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
40,40,5,8,8,150,1,76,8,504,625861,0,YES,76,2,10,19,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_8.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_8.txt
40,40,5,8,9,150,2,76,8,504,625861,0,YES,76,2,10,19,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_9.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_9.txt
40,40,5,8,10,150,1,76,8,504,625861,0,YES,76,2,10,18,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_10.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_10.txt
40,40,5,8,11,150,2,69,11,488,582255,0,YES,69,2,11,19,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_11.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_11.txt
40,40,5,8,12,150,0,42,12,482,539022,0,YES,42,1,12,18,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_12.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_12.txt
40,40,5,8,13,150,1,42,13,478,514534,0,YES,42,1,13,17,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_13.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_13.txt
40,40,5,8,14,150,0,7,14,476,480336,0,YES,7,0,16,22,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_14.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_14.txt
40,40,5,8,15,150,1,7,14,476,480336,0,YES,7,0,16,19,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_15.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_15.txt
40,40,5,8,16,150,0,7,14,476,480336,0,YES,7,0,16,18,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_16.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_16.txt
40,40,5,8,17,150,0,8,15,476,479343,0,YES,8,0,17,17,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_17.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_17.txt
40,40,5,8,18,150,0,12,14,476,480240,0,YES,12,0,18,17,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_18.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_18.txt
40,40,5,8,19,150,0,16,14,476,479600,0,YES,16,0,19,20,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_19.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_19.txt
40,40,5,8,20,150,0,1,20,472,472000,0,YES,1,0,20,24,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/logs/multicol_40x40_K5_T_20.log,results_multicol_40x40_20251123_133935/K5_40x40_T8-20/placement40_Col_5_T_20.txt
